dept_id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,qt_frentes_saude,qt_frentes_educacao,qt_frentes_seguranca,qt_frentes_agro,qt_frentes_mulher,qt_frentes_meio_ambiente,qt_total_frentes
74696,Alberto Mourão,MDB,SP,0,0,1,0,0,0,19
160561,Missionário José Olimpio,PL,SP,0,0,0,0,0,1,2
220639,Guilherme Boulos,PSOL,SP,3,3,2,1,0,3,77
165470,Rodrigo Valadares,PL,SE,4,2,4,4,1,4,136
220554,Alexandre Lindenmeyer,PT,RS,9,3,1,4,2,5,173
220682,Tadeu Veneri,PT,PR,11,2,3,2,4,4,157
204567,Raimundo Costa,PSD,BA,5,2,2,4,3,3,166
220555,Daiana Santos,PCDOB,RS,4,2,1,1,0,0,63
160161,Marcelo Queiroz,PSDB,RJ,10,4,5,4,5,6,214
220601,Washington Quaquá,PT,RJ,8,4,3,4,5,4,162
220577,Augusto Puppio,MDB,AP,9,2,3,2,4,1,149
222142,Coronel Telhada,PP,SP,6,3,5,5,2,1,174
225727,Flavinha,MDB,MT,0,0,1,1,0,0,6
204427,Fernando Rodolfo,PRD,PE,11,4,3,6,4,3,189
220699,Castro Neto,MDB,PI,1,0,0,0,0,2,26
198197,Greyce Elias,PL,MG,2,1,0,1,5,2,99
225730,Enfermeira Ana Paula,PODE,CE,1,0,1,0,1,0,25
204498,Olival Marques,PODE,PA,0,0,0,2,0,1,25
233592,Paulo Lemos,PT,AP,0,0,0,0,0,0,2
220653,Fábio Teruel,MDB,SP,0,0,0,0,0,0,1
220574,Cabo Gilberto Silva,PL,PB,8,2,4,4,3,5,203
66385,Julio Arcoverde,PP,PI,2,1,2,1,0,0,36
220651,Simone Marquetto,PP,SP,1,1,1,1,3,3,72
171786,Miguel Ângelo,PT,MG,1,3,1,2,0,2,64
220580,Professora Goreth,PDT,AP,8,5,4,6,5,5,216
220629,Dandara,PT,MG,2,3,1,1,0,3,70
141408,Cleber Verde,MDB,MA,10,4,5,5,6,5,248
220650,Paulo Alexandre Barbosa,PSDB,SP,8,3,5,3,5,5,206
220714,Adail Filho,MDB,AM,9,2,6,5,5,3,182
220616,Luciano Vieira,PSDB,RJ,7,0,3,4,0,2,151
141456,Jilmar Tatto,PT,SP,3,2,1,1,0,2,63
220530,Messias Donato,UNIÃO,ES,11,3,4,3,5,4,172
220575,Sonize Barbosa,PL,AP,6,5,4,4,5,1,138
220543,Ricardo Ayres,REPUBLICANOS,TO,8,5,5,6,6,5,220
204391,José Nelto,UNIÃO,GO,5,1,1,1,1,1,43
220545,Filipe Martins,PL,TO,7,2,3,2,1,1,117
220595,Coronel Fernanda,PL,MT,10,3,5,3,4,3,197
141459,João Maia,PP,RN,0,2,1,1,0,1,37
229432,Luiz Fernando Vampiro,MDB,SC,1,0,0,1,0,2,12
230177,Tadeu Oliveira,PL,CE,0,0,0,0,0,0,2
226708,Allan Garcês,PP,MA,1,0,1,0,0,2,21
