dept_id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,qt_frentes,qt_coordenacoes,qt_presidencias,ranking_frentes
204566,Marreca Filho,PATRIOTA,MA,270,0,0,112
141450,Hugo Leal,PSD,RJ,268,5,0,113
160569,Waldenor Pereira,PT,BA,268,0,0,114
74459,Átila Lira,PP,PI,268,0,0,115
73701,Benedita Da Silva,PT,RJ,268,2,0,116
178829,Capitão Augusto,PL,SP,267,6,0,117
178928,Christiane De Souza Yared,PP,PR,265,0,0,118
177282,Subtenente Gonzaga,PSD,MG,264,1,0,119
74376,Vander Loubet,PT,MS,264,2,0,120
74159,Odair Cunha,PT,MG,263,0,0,121
74270,Gilberto Nascimento,PSC,SP,263,0,0,122
160598,Flávia Morais,MDB,GO,263,4,0,123
74419,Gonzaga Patriota,PSB,PE,262,1,0,124
204525,Rosana Valle,PL,SP,262,2,0,125
152610,Roberto Alves,REPUBLICANOS,SP,262,1,0,126
204576,João Roma,PL,BA,261,0,0,127
178951,Rafael Motta,PSB,RN,261,0,0,128
220588,Roberto Duarte,REPUBLICANOS,AC,261,0,0,129
178963,Covatti Filho,PP,RS,258,0,0,130
73604,Rui Falcão,PT,SP,258,0,0,131
135054,Cristiano Vale,PP,PA,257,0,0,132
204526,Luiz Philippe De Orleans E Bragança,PL,SP,257,0,0,133
204476,Chiquinho Brazão,UNIÃO,RJ,257,0,0,134
204473,General Girão,PL,RN,257,3,0,135
204535,Sâmia Bomfim,PSOL,SP,257,0,0,136
178831,André Abdon,PP,AP,256,0,0,137
122158,Pedro Paulo,PSD,RJ,256,2,0,138
141470,José Guimarães,PT,CE,254,0,0,139
116379,Darci De Matos,PSD,SC,254,2,0,140
220563,Icaro De Valmir,REPUBLICANOS,SE,254,1,0,141
220687,Márcio Honaiser,SOLIDARIEDADE,MA,254,1,0,142
204374,Bia Kicis,PL,DF,252,2,0,143
73579,Alberto Fraga,PL,DF,252,1,0,144
204556,Marcelo Ramos,PSD,AM,252,2,0,145
220646,Felipe Becari,PODE,SP,252,1,0,146
160517,Paulo Folletto,PSB,ES,252,0,0,147
134812,Edmilson Rodrigues,PSOL,PA,251,0,0,148
178981,Herculano Passos,REPUBLICANOS,SP,250,4,0,149
204454,Daniel Silveira,PTB,RJ,250,3,0,150
204530,Rodrigo Agostinho,PSB,SP,250,0,0,151
141531,Rodrigo De Castro,UNIÃO,MG,250,0,0,152
204367,Daniel Freitas,PL,SC,250,3,0,153
74571,Nelson Pellegrino,PT,BA,249,1,0,154
92102,Leur Lomanto Júnior,UNIÃO,BA,249,0,0,155
74052,Bosco Costa,PL,SE,248,0,0,156
178835,Afonso Motta,PDT,RS,248,2,0,157
141508,Mauro Nazif,PSB,RO,248,1,0,158
204507,Carla Zambelli,PL,SP,248,2,0,159
220656,Fernanda Pessoa,PSD,CE,248,1,0,160
204524,Pinheirinho,PP,MG,248,0,0,161
141408,Cleber Verde,MDB,MA,248,1,0,162
160558,Paulo Freire Costa,PL,SP,247,0,0,163
204463,Wladimir Garotinho,PSD,RJ,247,1,0,164
160635,Ruy Carneiro,PSC,PB,246,0,0,165
178954,Lucio Mosquini,PL,RO,246,2,0,166
74749,Mauro Lopes,PP,MG,245,1,0,167
197438,Tito,AVANTE,BA,245,0,0,168
66828,Fausto Pinato,UNIÃO,SP,245,3,0,169
141391,Arnaldo Jardim,CIDADANIA,SP,244,4,0,170
204412,Dr. Zacharias Calil,MDB,GO,244,2,0,171
204360,Silvia Cristina,PP,RO,244,3,0,172
153423,Renilce Nicodemos,MDB,PA,242,1,0,173
220625,Delegada Ione,AVANTE,MG,242,1,0,174
204414,Aroldo Martins,REPUBLICANOS,PR,240,1,0,175
141458,João Carlos Bacelar,PL,BA,240,1,0,176
204392,Francisco Jr.,PSD,GO,239,2,0,177
160655,Ricardo Izar,REPUBLICANOS,SP,239,4,0,178
141408,Cleber Verde,REPUBLICANOS,MA,238,2,0,179
137070,Vicentinho Júnior,PSDB,TO,238,0,0,180
178992,Vitor Lippi,PSD,SP,237,2,0,181
178871,Evair Vieira De Melo,PP,ES,237,3,0,182
204451,Delegado Antônio Furtado,UNIÃO,RJ,236,1,0,183
220564,Yandra Moura,UNIÃO,SE,235,1,0,184
204520,Junio Amaral,PL,MG,235,0,0,185
205476,Charles Fernandes,PSD,BA,234,1,0,186
161440,Pezenti,MDB,SC,234,0,0,187
178836,Alan Rick,UNIÃO,AC,233,1,0,188
204512,Delegado Marcelo Freitas,UNIÃO,MG,233,2,0,189
204518,Dr. Frederico,PATRIOTA,MG,232,0,0,190
141555,Vinicius Carvalho,REPUBLICANOS,SP,232,1,0,191
178863,Uldurico Junior,MDB,BA,232,0,0,192
154178,Milton Vieira,REPUBLICANOS,SP,232,0,0,193
204441,Otoni De Paula,MDB,RJ,231,1,0,194
141488,Paulo Teixeira,PT,SP,231,1,0,195
141431,Fernando Coelho Filho,UNIÃO,PE,231,0,0,196
204560,Adolfo Viana,PSDB,BA,230,0,0,197
178989,Renata Abreu,PODE,SP,229,0,0,198
204360,Silvia Cristina,PL,RO,229,1,0,199
104552,Socorro Neri,PP,AC,228,2,0,200
220610,Dr. Fernando Máximo,PL,RO,228,2,0,201
90201,Pedro Augusto Bezerra,PDT,CE,227,0,0,202
160518,Weliton Prado,PROS,MG,227,1,0,203
68720,Fábio Henrique,UNIÃO,SE,227,1,0,204
204554,Abílio Santana,PSC,BA,227,0,0,205
204453,Natália Bonavides,PT,RN,226,0,0,206
204487,Capitão Wagner,UNIÃO,CE,226,1,0,207
220534,Fred Linhares,REPUBLICANOS,DF,226,0,0,208
220599,Marcelo Crivella,REPUBLICANOS,RJ,226,0,0,209
160632,Zé Silva,SOLIDARIEDADE,MG,226,0,0,210
178948,Beto Rosado,PP,RN,226,0,0,211
204397,Boca Aberta,PROS,PR,225,0,0,212
178952,Walter Alves,MDB,RN,225,0,0,213
204410,Luisa Canziani,UNIÃO,PR,225,2,0,214
204444,Helio Lopes,PL,RJ,224,1,0,215
141553,Vanderlei Macris,PSDB,SP,224,0,0,216
171623,Fabio Reis,PSD,SE,224,0,0,217
74356,Silas Câmara,REPUBLICANOS,AM,224,1,0,218
220697,Jadyel Alencar,REPUBLICANOS,PI,224,1,0,219
220618,Sargento Portugal,PODE,RJ,224,0,0,220
220539,Defensor Stélio Dener,UNIÃO,RR,222,1,0,221
204557,Sidney Leite,PSD,AM,221,0,0,222
178895,Misael Varella,PSD,MG,220,0,0,223
204515,André Janones,AVANTE,MG,220,0,0,224
220543,Ricardo Ayres,REPUBLICANOS,TO,220,1,0,225
204380,Celina Leão,PP,DF,217,0,0,226
204503,Alexandre Padilha,PT,SP,216,0,0,227
220605,Bandeira De Mello,PV,RJ,216,1,0,228
220580,Professora Goreth,PDT,AP,216,2,0,229
220529,Gilson Daniel,PODE,ES,215,2,0,230
74856,Laura Carneiro,PSD,RJ,215,0,0,231
204571,Alex Santana,REPUBLICANOS,BA,214,0,0,232
220707,Amanda Gentil,PP,MA,214,1,0,233
178972,Alex Manente,CIDADANIA,SP,214,0,0,234
160161,Marcelo Queiroz,PSDB,RJ,214,2,0,235
160674,Hugo Motta,REPUBLICANOS,PB,213,0,0,236
178858,Mário Negromonte Jr.,PP,BA,213,1,0,237
132504,Enio Verri,PT,PR,213,0,0,238
220659,Dayany Bittencourt,UNIÃO,CE,212,1,0,239
204381,Luis Miranda,REPUBLICANOS,DF,212,1,0,240
204410,Luisa Canziani,PSD,PR,212,0,0,241
204366,Rodrigo Coelho,PODE,SC,211,0,0,242
220608,Cristiane Lopes,PODE,RO,211,2,0,243
220630,Pedro Aihara,PP,MG,211,1,0,244
74043,Wellington Roberto,PL,PB,211,0,0,245
74374,Geraldo Resende,UNIÃO,MS,211,0,0,246
204373,Hélio Costa,PSD,SC,210,0,0,247
109429,Benes Leocádio,UNIÃO,RN,209,1,0,248
220607,Max Lemos,PDT,RJ,209,1,0,249
220573,Dorinaldo Malafaia,PDT,AP,209,1,0,250
220695,Rogéria Santos,REPUBLICANOS,BA,209,4,0,251
220589,Eduardo Velloso,SOLIDARIEDADE,AC,209,3,0,252
178969,Fábio Mitidieri,PSD,SE,208,0,0,253
220531,Gilvan Maximo,REPUBLICANOS,DF,208,0,0,254
204379,Acácio Favacho,MDB,AP,207,1,0,255
220558,Zé Trovão,PL,SC,207,2,0,256
178887,Rubens Pereira Júnior,PT,MA,207,0,0,257
204536,Kim Kataguiri,MISSÃO,SP,206,1,0,258
204484,General Peternelli,UNIÃO,SP,206,0,0,259
178833,Alexandre Serfiotis,PSD,RJ,206,0,0,260
220650,Paulo Alexandre Barbosa,PSDB,SP,206,2,0,261
179001,Márcio Biolchi,MDB,RS,205,0,0,262
220591,Meire Serafim,UNIÃO,AC,205,1,0,263
195866,Vaidon Oliveira,UNIÃO,CE,204,0,0,264
204485,Luiz Carlos Motta,PL,SP,204,0,0,265
204479,Nicoletti,PL,RR,204,1,0,266
178889,Zé Carlos,PT,MA,204,2,0,267
204370,Célio Moura,PT,TO,204,1,0,268
220574,Cabo Gilberto Silva,PL,PB,203,0,0,269
204566,Marreca Filho,PRD,MA,203,2,0,270
198783,Emanuel Pinheiro Neto,MDB,MT,202,0,0,271
178871,Evair Vieira De Melo,REPUBLICANOS,ES,202,0,0,272
191923,Flávio Nogueira,PT,PI,201,1,0,273
178843,Marx Beltrão,PP,AL,201,0,0,274
220538,Albuquerque,REPUBLICANOS,RR,201,0,0,275
178930,Roman,PP,PR,200,1,0,276
90842,Santini,PTB,RS,199,2,0,277
74471,André De Paula,PSD,PE,198,0,0,278
220569,Silvye Alves,UNIÃO,GO,197,1,0,279
220595,Coronel Fernanda,PL,MT,197,0,0,280
220592,Zezinho Barbary,PP,AC,197,0,0,281
204400,Aline Sleutjes,PROS,PR,196,0,0,282
178953,Expedito Netto,PSD,RO,196,0,0,283
178983,Marcio Alvino,PL,SP,196,10,0,284
178929,Diego Garcia,UNIÃO,PR,195,1,0,285
160641,Professora Marcivania,PCDOB,AP,195,0,0,286
