id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,qt_votacoes,qt_presencas_votacao,qt_votos_sim,qt_votos_nao,qt_abstencoes,qt_obstrucoes,pc_participacao_decisiva,tx_faixa_fidelidade_partidaria
204542,Denis Bezerra,PSB,CE,445,445,246,184,1,14,96.63,Alta participação em votações
193726,Paulo Eduardo Martins,PL,PR,421,421,215,206,0,0,100.0,Alta participação em votações
74749,Mauro Lopes,PP,MG,366,366,214,151,1,0,99.73,Alta participação em votações
73531,Ivan Valente,PSOL,SP,1412,1411,733,648,1,29,97.87,Alta participação em votações
74574,Paulo Magalhães,PSD,BA,1276,1275,786,486,3,0,99.76,Alta participação em votações
204360,Silvia Cristina,PP,RO,1410,1409,760,607,0,42,97.02,Alta participação em votações
204448,Luiz Antonio Corrêa,PP,RJ,789,788,479,309,0,0,100.0,Alta participação em votações
178831,André Abdon,PP,AP,613,613,387,226,0,0,100.0,Alta participação em votações
178910,Joaquim Passarinho,PL,PA,1502,1501,800,628,3,70,95.14,Alta participação em votações
122158,Pedro Paulo,PSD,RJ,830,830,529,301,0,0,100.0,Alta participação em votações
204385,Valdevan Noventa,PL,SE,163,163,97,66,0,0,100.0,Alta participação em votações
204532,Vinicius Poit,NOVO,SP,464,464,217,244,0,3,99.35,Alta participação em votações
204461,Paulo Ganime,NOVO,RJ,476,476,215,258,0,3,99.37,Alta participação em votações
141508,Mauro Nazif,PSB,RO,448,448,266,176,0,6,98.66,Alta participação em votações
205535,Patricia Ferraz,PL,AP,73,73,48,25,0,0,100.0,Alta participação em votações
74095,Pauderney Avelino,UNIÃO,AM,537,536,327,206,3,0,99.44,Alta participação em votações
220579,Silvia Waiãpi,PL,AP,556,556,256,247,0,53,90.47,Alta participação em votações
204445,Fernando Mineiro,PT,RN,904,904,521,379,2,2,99.56,Alta participação em votações
220574,Cabo Gilberto Silva,PL,PB,1081,1080,531,492,2,50,94.72,Alta participação em votações
221329,Ricardo Abrão,PSDB,RJ,453,452,296,156,0,0,100.0,Alta participação em votações
220660,Yury Do Paredão,MDB,CE,686,685,440,245,0,0,100.0,Alta participação em votações
220666,Coronel Meira,PL,PE,1109,1108,573,467,1,67,93.86,Alta participação em votações
225730,Enfermeira Ana Paula,PODE,CE,322,321,205,112,4,0,98.75,Alta participação em votações
220527,Jack Rocha,PT,ES,1040,1039,612,422,1,3,99.52,Alta participação em votações
220549,Any Ortiz,PP,RS,933,932,533,399,0,0,100.0,Alta participação em votações
220671,Dilvanda Faro,PT,PA,996,995,591,399,2,3,99.5,Alta participação em votações
220633,Ricardo Salles,NOVO,SP,739,738,314,359,14,51,91.19,Alta participação em votações
220664,Guilherme Uchoa,PSD,PE,934,933,585,348,0,0,100.0,Alta participação em votações
220613,Roberto Monteiro Pai,PL,RJ,973,973,522,375,6,70,92.19,Alta participação em votações
220611,General Pazuello,PL,RJ,1012,1011,528,408,0,75,92.58,Alta participação em votações
220623,Duda Salabert,PSOL,MG,905,904,492,403,6,3,99.0,Alta participação em votações
220565,Delegada Adriana Accorsi,PT,GO,792,792,480,311,1,0,99.87,Alta participação em votações
220575,Sonize Barbosa,PL,AP,442,442,224,164,1,53,87.78,Alta participação em votações
206018,Célia Xakriabá,PSOL,MG,847,846,464,378,0,4,99.53,Alta participação em votações
220581,Luciano Amaral,PSD,AL,983,982,602,380,0,0,100.0,Alta participação em votações
220554,Alexandre Lindenmeyer,PT,RS,850,850,499,348,0,3,99.65,Alta participação em votações
220667,Pedro Campos,PSB,PE,1020,1019,609,407,1,2,99.71,Alta participação em votações
74550,João Leão,PP,BA,836,835,504,327,4,0,99.52,Alta participação em votações
231911,Lenir De Assis,PT,PR,418,417,232,182,1,2,99.28,Alta participação em votações
230767,Rodrigo Da Zaeli,PL,MT,474,473,251,214,5,3,98.31,Alta participação em votações
220646,Felipe Becari,PODE,SP,687,686,398,288,0,0,100.0,Alta participação em votações
234673,Vanderlan Alves,SOLIDARIEDADE,CE,118,118,74,44,0,0,100.0,Alta participação em votações
220714,Adail Filho,MDB,AM,1003,1002,631,371,0,0,100.0,Alta participação em votações
230762,Pastor Claudio Mariano,UNIÃO,PA,277,277,175,102,0,0,100.0,Alta participação em votações
220626,Rafael Simoes,UNIÃO,MG,955,955,571,382,2,0,99.79,Alta participação em votações
220632,Ana Pimentel,PT,MG,978,978,565,409,1,3,99.59,Alta participação em votações
234406,Elmano Férrer,PP,PI,79,79,56,23,0,0,100.0,Alta participação em votações
74696,Alberto Mourão,MDB,SP,305,305,194,110,1,0,99.67,Alta participação em votações
229106,Carla Ayres,PT,SC,76,76,44,32,0,0,100.0,Alta participação em votações
229939,Newton Bonin,UNIÃO,PR,128,128,77,51,0,0,100.0,Alta participação em votações
227800,Duarte Gonçalves Jr,REPUBLICANOS,MG,71,71,48,23,0,0,100.0,Alta participação em votações
178829,Capitão Augusto,PL,SP,1409,1409,749,592,11,57,95.17,Alta participação em votações
204472,José Medeiros,PL,MT,1340,1339,700,589,1,49,96.27,Alta participação em votações
204415,Nereu Crispim,PSD,RS,409,409,234,175,0,0,100.0,Alta participação em votações
204365,Gilson Marques,NOVO,SC,1679,1678,765,805,0,108,93.56,Alta participação em votações
204427,Fernando Rodolfo,PRD,PE,1190,1190,667,449,34,40,93.78,Alta participação em votações
204446,Professor Joziel,PATRIOTA,RJ,408,408,223,185,0,0,100.0,Alta participação em votações
73466,Rubens Bueno,CIDADANIA,PR,514,514,288,224,0,2,99.61,Alta participação em votações
141552,Valtenir Pereira,MDB,MT,209,209,129,79,0,1,99.52,Alta participação em votações
204408,Gustinho Ribeiro,PP,SE,1363,1362,846,516,0,0,100.0,Alta participação em votações
141464,José Airton Félix Cirilo,PT,CE,1117,1116,662,430,3,21,97.85,Alta participação em votações
73943,Perpétua Almeida,PCDOB,AC,452,452,258,171,4,19,94.91,Alta participação em votações
204444,Helio Lopes,PL,RJ,1243,1243,685,512,1,45,96.3,Alta participação em votações
178931,Luciano Ducci,PSB,PR,1313,1312,825,486,0,1,99.92,Alta participação em votações
204549,Aj Albuquerque,PP,CE,1156,1155,710,442,2,1,99.74,Alta participação em votações
204567,Raimundo Costa,PSD,BA,1099,1099,718,380,1,0,99.91,Alta participação em votações
204377,Paula Belmonte,CIDADANIA,DF,406,406,225,175,0,6,98.52,Alta participação em votações
204509,Áurea Carolina,PSOL,MG,374,374,185,175,0,14,96.26,Alta participação em votações
204368,Fabio Schiochet,UNIÃO,SC,1436,1435,807,628,0,0,100.0,Alta participação em votações
160541,Arthur Lira,PP,AL,707,707,99,21,0,0,16.97,Baixa participação em votações
160645,Luiz Carlos,PSDB,AP,235,235,140,95,0,0,100.0,Alta participação em votações
160758,Domingos Sávio,PL,MG,1327,1326,737,543,1,45,96.53,Alta participação em votações
191923,Flávio Nogueira,PT,PI,1610,1609,930,650,0,29,98.2,Alta participação em votações
74400,Paulo Pimenta,PT,RS,878,877,500,347,2,28,96.58,Alta participação em votações
141372,Aelton Freitas,PP,MG,359,359,197,162,0,0,100.0,Alta participação em votações
141422,Efraim Filho,UNIÃO,PB,123,123,86,37,0,0,100.0,Alta participação em votações
204364,Eli Borges,REPUBLICANOS,TO,1186,1186,681,451,14,40,95.45,Alta participação em votações
160538,Bohn Gass,PT,RS,1442,1441,829,581,1,30,97.85,Alta participação em votações
204374,Bia Kicis,PL,DF,1559,1559,782,715,1,59,96.02,Alta participação em votações
204474,Juarez Costa,REPUBLICANOS,MT,1173,1172,644,527,1,0,99.91,Alta participação em votações
204352,Camilo Capiberibe,PSB,AP,432,432,255,162,0,15,96.53,Alta participação em votações
215044,Vivi Reis,PSOL,PA,488,488,244,223,0,21,95.7,Alta participação em votações
204528,Adriana Ventura,NOVO,SP,1514,1513,667,733,0,109,92.53,Alta participação em votações
204565,Professora Dayane Pimentel,UNIÃO,BA,315,315,188,127,0,0,100.0,Alta participação em votações
204457,Juninho Do Pneu,PSDB,RJ,1430,1429,881,548,0,0,100.0,Alta participação em votações
204376,Coronel Armando,PP,SC,619,619,338,281,0,0,100.0,Alta participação em votações
74693,Rodrigo Maia,PSDB,RJ,23,23,10,10,3,0,86.96,Alta participação em votações
