evt_id_evento,evt_tx_descricao,evt_tx_situacao,evt_tx_tipo,evt_tx_situacao_curada,evt_tx_tipo_curado,evt_tx_local_interno,evt_tx_local_externo,evt_tx_tipo_local,evt_dt_inicio,evt_dt_fim,evt_nr_ano,evt_nr_mes,evt_nr_semana_ano,data_tx_ano_mes,org_id_orgao,org_sg_orgao,org_tx_nome,org_tx_tipo_curado
81913,Homenagem Ao Dia Nacional Do Desporto Escolar,Agendada,Sessão Não Deliberativa Solene,Agendada,Sessão,Plenário Da Câmara Dos Deputados,,Câmara,2026-05-25,,2026,5,22,2026-05,180,PLEN,Plenário,Plenário
81581,Homenagem Aos 100 Anos De Fundação Do Instituto De Engenharia Do Paraná – Iep,Agendada,Sessão Não Deliberativa Solene,Agendada,Sessão,Plenário Da Câmara Dos Deputados,,Câmara,2026-05-26,,2026,5,22,2026-05,180,PLEN,Plenário,Plenário
81804,"Homenagem Ao Dia Das Micro, Pequenas E Médias Empresas  Homenagem Ao Dia Nacional Da Micro E Pequena Empresa",Agendada,Sessão Não Deliberativa Solene,Agendada,Sessão,Plenário Da Câmara Dos Deputados,,Câmara,2026-07-01,,2026,7,27,2026-07,180,PLEN,Plenário,Plenário
81818,Homenagem À Organização Touchpeace,Agendada,Sessão Não Deliberativa Solene,Agendada,Sessão,Plenário Da Câmara Dos Deputados,,Câmara,2026-06-30,,2026,6,27,2026-06,180,PLEN,Plenário,Plenário
81788,"Balanço Dos Jogos Paralímpicos De Inverno E Ciclo Los Angeles 2028  Audiência Pública  Com O Comitê Paralímpico Brasileiro (cpb) Para Apresentar O Ciclo De Preparação Para Os Jogos Paralímpicos Los Angels 2028 E Realizar Um Balanço Da Participação Brasileira Nos Jogos Paralímpicos De Inverno Em Milão-cortina (2026), Em Atenção Ao Requerimento Nº 20/2026, De Autoria Da Deputada Iza Arruda. Convidado: Sr. José Antônio Ferreira Freire, Presidente Do Comitê Paralímpico Brasileiro (cpb).",Convocada,Audiência Pública,Convocado,Audiência Pública,"Anexo Ii, Plenário 04",,Câmara,2026-05-20,,2026,5,21,2026-05,537236,CESPO,Comissão Do Esporte,Comissão
81659,"Homenagem Ao  Aniversário De Criação Dos Municípios De Senador Guiomard, Assis Brasil E Manoel Urbano Do Estado Do Acre",Agendada,Sessão Não Deliberativa Solene,Agendada,Sessão,Plenário Da Câmara Dos Deputados,,Câmara,2026-05-20,,2026,5,21,2026-05,180,PLEN,Plenário,Plenário
81656,"Políticas Públicas Voltadas Às Pessoas Com Altas Habilidades/superdotação (ah/sd)  1) (a Confirmar) Representante Do Ministério Da Educação (mec);  2)  (a Confirmar) Representante Da Secretaria De Estado De Educação Do Governo Do Distrito Federal (seedf);  3) Jhoyce Hayne (a Confirmar) - Presidente Da Comissão De Defesa Dos Direitos Das Pessoas Com Altas Habilidades/superdotação Ou Dupla Excepcionalidade; 4) Denise Fleith (a Confirmar) -  Pesquisadora Do Instituto De Psicologia (ip) Da Universidade De Brasília (unb);  5)  Robertha Munique (a Confirmar) - Especialista Em Atendimento Educacional Especializado Em Altas Habilidades/superdotação (mec/unb) E Presidente Do Instituto Raises  - Rede De Apoio, Incentivo E Suporte Educacional E Emocional Ao Superdotado;  6)  Amábile Pacios (a Confirmar) - Presidente Da Federação Nacional Das Escolas Particulares (fenep);  7)  Rafael Kessler (a Confirmar) -  Estudante, Programador, Inventor Da Língua Hyroasc E Criador Da Fómula De Kessler, Reconhecida Pela Unb;  8)  Lucas Freitas (a Confirmar) - Estudante, Primeiro Medalhista Olímpico De Ouro Do Brasil Em Competição De Cibersegurança Na China, (req 14/2026 Ce, Da Deputada Nely Aquino)",Convocada,Audiência Pública,Convocado,Audiência Pública,A Definir,,Câmara,2026-05-26,,2026,5,22,2026-05,2009,CE,Comissão De Educação,Comissão
81877,Homenagem Aos Galos De Pernambuco: Galo Da Madrugada E Galo Gigante,Agendada,Sessão Não Deliberativa Solene,Agendada,Sessão,Plenário Da Câmara Dos Deputados,,Câmara,2026-05-20,,2026,5,21,2026-05,180,PLEN,Plenário,Plenário
81551,Homenagem Ao Dia Nacional De Combate Ao Abuso E À Exploração Sexual De Crianças E Adolescentes,Agendada,Sessão Não Deliberativa Solene,Agendada,Sessão,Plenário Da Câmara Dos Deputados,,Câmara,2026-05-19,,2026,5,21,2026-05,180,PLEN,Plenário,Plenário
81446,Celebração Dos 118 Anos De Imigração Japonesa No Brasil,Convocada,Sessão Não Deliberativa Solene,Convocado,Sessão,Plenário Da Câmara Dos Deputados,,Câmara,2026-06-17,,2026,6,25,2026-06,111,CN,Congresso Nacional,Órgão Do Congresso Nacional
81584,Comparecimento Da Ministra De Estado Da Cultura Margareth Menezes,Convocada,Reunião De Comparecimento De Ministro(a),Convocado,Reunião,"Anexo Ii, Plenário 09",,Câmara,2026-05-27,,2026,5,22,2026-05,536996,CCULT,Comissão De Cultura,Comissão
81564,"Homenagem À Campanha Nacional Da Voz, Promovida Pela Academia Brasileira De Laringologia E Voz – Ablv",Agendada,Sessão Não Deliberativa Solene,Agendada,Sessão,Plenário Da Câmara Dos Deputados,,Câmara,2026-05-27,,2026,5,22,2026-05,180,PLEN,Plenário,Plenário
81811,Homenagem Ao Centenário De Adauto Bezerra E Humberto Bezerra,Agendada,Sessão Não Deliberativa Solene,Agendada,Sessão,Plenário Da Câmara Dos Deputados,,Câmara,2026-06-16,,2026,6,25,2026-06,180,PLEN,Plenário,Plenário
81839,Homenagem Ao Dia Mundial Do Meio Ambiente,Agendada,Sessão Não Deliberativa Solene,Agendada,Sessão,Plenário Da Câmara Dos Deputados,,Câmara,2026-06-23,,2026,6,26,2026-06,180,PLEN,Plenário,Plenário
81780,"Trecho Rodoviário Da Br 364 E O Processo De Concessão No Estado De Rondônia.  (req 25/2026 Cvt, Do Deputado Rafael Fera) . George Santoro,  Ministro Dos Transportes;  . Guilherme Theo Rodrigues,  Diretor Geral Da Agência Nacional De Transportes Terrestres- Antt; .  Responsável Pela Nova 364 S.a; . Representante Do Ministério Público Federal.",Convocada,Audiência Pública,Convocado,Audiência Pública,"Anexo Ii, Plenário 11",,Câmara,2026-05-26,,2026,5,22,2026-05,2016,CVT,Comissão De Viação E Transportes,Comissão
81854,Homenagem À Atuação E Ao Reconhecimento Da Associação Dos Veteranos Do Estado De Goiás (avego) Aos Profissionais Do Sistema De Segurança Pública  Homenagem Ao Reconhecimento Da Associação Dos Veteranos Do Estado De Goiás (avego) Aos Profissionais Do Sistema De Segurança Pública,Agendada,Sessão Não Deliberativa Solene,Agendada,Sessão,Plenário Da Câmara Dos Deputados,,Câmara,2026-05-21,,2026,5,21,2026-05,180,PLEN,Plenário,Plenário
