evt_nr_ano,evt_nr_semana_ano,qt_eventos,qt_orgaos,qt_audiencias_publicas,qt_reunioes,qt_sessoes,evento_tx_nivel_atividade
2022,31,52,25,10,28,6,Alta atividade
2022,38,3,3,1,1,1,Baixa atividade
2022,22,88,38,27,40,6,Alta atividade
2022,41,11,5,0,6,2,Atividade moderada
2022,39,3,0,0,0,0,Baixa atividade
2025,33,106,42,33,40,9,Alta atividade
2025,11,18,4,2,3,7,Alta atividade
2023,43,111,43,35,46,7,Alta atividade
2023,47,150,43,36,83,13,Alta atividade
2023,7,4,2,0,0,4,Baixa atividade
2024,35,79,40,25,41,8,Alta atividade
2024,31,3,0,0,1,0,Baixa atividade
2022,28,90,36,27,41,9,Alta atividade
2022,49,86,35,27,41,9,Alta atividade
2022,16,9,4,3,1,5,Atividade moderada
2022,45,79,35,13,54,7,Alta atividade
2022,37,4,3,1,1,1,Baixa atividade
2025,24,136,51,50,49,8,Alta atividade
2025,44,88,41,34,26,8,Alta atividade
2023,41,52,33,8,31,6,Alta atividade
2024,36,7,5,2,1,1,Atividade moderada
2024,12,60,34,3,43,9,Alta atividade
2024,9,17,3,0,3,8,Alta atividade
2024,10,57,37,1,42,6,Alta atividade
2024,39,7,4,2,3,2,Atividade moderada
2022,47,73,37,12,39,6,Alta atividade
2022,24,63,34,17,36,6,Alta atividade
2022,26,100,35,37,34,9,Alta atividade
2026,9,47,31,4,32,4,Alta atividade
2026,26,3,1,0,0,3,Baixa atividade
2025,6,7,4,1,2,4,Atividade moderada
2025,23,40,10,1,0,1,Alta atividade
2023,17,87,41,26,42,10,Alta atividade
2023,23,49,32,15,23,3,Alta atividade
2023,40,116,49,45,44,13,Alta atividade
2023,4,1,0,0,0,0,Baixa atividade
2024,13,44,25,2,32,7,Alta atividade
2024,38,8,5,1,1,2,Atividade moderada
2024,34,7,2,0,0,6,Atividade moderada
2022,33,9,5,2,2,1,Atividade moderada
2022,11,26,13,3,10,6,Alta atividade
2022,6,12,10,0,8,3,Atividade moderada
2022,44,8,6,0,6,1,Atividade moderada
2026,19,88,41,25,42,6,Alta atividade
