prop_id_proposicao,tram_id_evento,tram_ts_tramitacao,tram_dt_tramitacao,tram_tx_sigla_orgao,tram_tx_descricao_tramitacao,tram_tx_descricao_situacao,tram_tx_despacho,alert_tx_tipo,alert_tx_mensagem,alert_fl_notificar
2485530,1,2025-02-26T13:35:00.000Z,2025-02-26,MESA,Apresentação De Proposição,Aguardando Encaminhamento,"Apresentação do RIC n. 559/2025 (Requerimento de Informação), pelo Deputado Filipe Barros (PL/PR), que \"Solicita o envio de expediente ao Ministro de Estado de Minas e Energia\".",OUTRA_MOVIMENTACAO,Movimentação registrada.,0
2482130,16,2025-06-09T00:00:00.000Z,2025-06-09,1SECM,Providência Interna - Comunicação De Resposta Ostensiva,Aguardando Remessa Ao Arquivo,Encaminhamento de resposta por meio do sistema Infoleg,ARQUIVAMENTO,Proposição foi arquivada.,1
2482707,1,2025-02-04T14:02:00.000Z,2025-02-04,MESA,Apresentação De Proposição,Tramitação Finalizada,"Apresentação da REQ n. 164/2025 (Requerimento de Moção), pelo Deputado Pastor Henrique Vieira (PSOL/RJ -Fdr PSOL-REDE), que \"Requer Moção de Aplauso e Reconhecimento a Milton Nascimento, por toda a sua inestimável contribuição à cultura brasileira, representando-a em importante premiação internacional\".",OUTRA_MOVIMENTACAO,Movimentação registrada.,0
2483469,1,2025-02-06T19:42:00.000Z,2025-02-06,MESA,Apresentação De Proposição,,"Apresentação do DOC n. 13/2025 (Ofício do Senado Federal), pelo Senado Federal, que \"Comunica restituição de Projeto de Lei sancionado\".",OUTRA_MOVIMENTACAO,Movimentação registrada.,0
2485530,15,2025-04-07T00:00:00.000Z,2025-04-07,1SECM,Remessa A Ministério,Aguardando Remessa Ao Arquivo,"Remessa por meio do Ofício 1ªSec/RI/E nº 57/2025, ao Ministro de Estado de Minas e Energia.",ARQUIVAMENTO,Proposição foi arquivada.,1
2482130,13,2025-02-12T12:29:00.000Z,2025-02-12,1SECM,Recebimento,Aguardando Remessa Ao Arquivo,Recebimento pela 1SECM.,ARQUIVAMENTO,Proposição foi arquivada.,1
2482707,6,2025-02-11T18:43:00.000Z,2025-02-11,MESA,Distribuição,Tramitação Finalizada,"Publique-se e, após, arquive-se.",OUTRA_MOVIMENTACAO,Movimentação registrada.,0
2485530,6,2025-03-12T12:16:00.000Z,2025-03-12,1VIPR,Recebimento,Aguardando Elaboração Do Parecer Pelo(a) Relator(a),Recebimento pela 1VIPR.,OUTRA_MOVIMENTACAO,Movimentação registrada.,0
2485530,10,2025-03-19T20:41:00.000Z,2025-03-19,MESA,Distribuição,Aguardando Encaminhamento,"Aprovação pelo Presidente, Dep. Hugo Motta, \"ad referendum\" da Mesa, do parecer do senhor Deputado Altineu Côrtes, Primeiro Vice-Presidente, pelo encaminhamento.",OUTRA_MOVIMENTACAO,Movimentação registrada.,0
2485530,14,2025-03-21T14:59:00.000Z,2025-03-21,1SECM,Recebimento,Aguardando Remessa Ao Arquivo,Recebimento pela 1SECM.,ARQUIVAMENTO,Proposição foi arquivada.,1
2484957,1,2025-02-20T11:28:00.000Z,2025-02-20,MESA,Apresentação De Proposição,,"Apresentação do PRL n. 1 MESA (Parecer do Relator), pela 1ª Vice-Presidência da Câmara dos Deputados.",OUTRA_MOVIMENTACAO,Movimentação registrada.,0
2485530,7,2025-03-14T09:30:00.000Z,2025-03-14,MESA,Recebimento - Relator(a),Aguardando Encaminhamento,"Apresentação do PRL n. 1 MESA (Parecer do Relator), pela 1ª Vice-Presidência da Câmara dos Deputados.",OUTRA_MOVIMENTACAO,Movimentação registrada.,0
2482130,15,2025-06-06T00:00:00.000Z,2025-06-06,1SECM,Recebimento De Resposta,Aguardando Remessa Ao Arquivo,Recebimento de resposta conforme 89/2025/INDIC-PARLAMENTAR/SEPAR/SRI/PR,ARQUIVAMENTO,Proposição foi arquivada.,1
2485530,5,2025-03-07T00:00:00.000Z,2025-03-07,MESA,Designação De Relator(a),Aguardando Encaminhamento,"Designado Relator, Dep. Altineu Côrtes (PL-RJ), 1º Vice-Presidente",OUTRA_MOVIMENTACAO,Movimentação registrada.,0
2484905,1,2025-02-20T11:22:00.000Z,2025-02-20,MESA,Apresentação De Proposição,,"Apresentação do PRL n. 1 MESA (Parecer do Relator), pela 1ª Vice-Presidência da Câmara dos Deputados.",OUTRA_MOVIMENTACAO,Movimentação registrada.,0
