prop_id_proposicao,tram_id_evento,tram_ts_tramitacao,tram_dt_tramitacao,tram_tx_sigla_orgao,tram_tx_regime,tram_tx_descricao_tramitacao,tram_tx_descricao_situacao,tram_tx_despacho,cdc_payload_hash,valid_from,valid_to,is_current,scd_ts_processamento
2483380,1,2025-02-10T10:06:00.000Z,2025-02-10,MESA,.,Apresentação De Proposição,Aguardando Despacho Do Presidente Da Câmara Dos Deputados,"Apresentação do REQ n. 279/2025 (Requerimento de Sessão Solene), pelo Deputado Sargento Portugal (PODE/RJ) e outros, que \"Requer a realização de sessão solene em homenagem aos 460 anos da cidade do Rio de Janeiro\".",1c7b15be4ed211959d8f95db59fd75ff92a89ab92a5354ed465412c4c3eec3bd,2025-02-10T10:06:00.000Z,,true,2026-05-13T14:11:48.486Z
2485530,8,2025-03-14T09:30:00.000Z,2025-03-14,MESA,.,Parecer Do(a) Relator(a),Aguardando Encaminhamento,"Parecer do Relator, Dep. Altineu Côrtes (PL-RJ), pela aprovação.",ad86d050c21ebaf6b6c8d1e8143dcef9edb03df156957a5f86419bc6e117386f,2025-03-14T09:30:00.000Z,,true,2026-05-13T14:11:48.486Z
2482130,14,2025-03-19T00:00:00.000Z,2025-03-19,1SECM,.,Remessa A Ministério,Aguardando Remessa Ao Arquivo,"Remessa por meio do Ofício 1ªSec/I/E nº  41 e outros/2025, a Ministra de Estado da Secretaria de Relações Institucionais da Presidência da República.",ecfd92cd9d24bb3427e49d768866ab8fc1609bf4d20b9a1b716b36fd020151f0,2025-03-19T00:00:00.000Z,,true,2026-05-13T14:11:48.486Z
2484291,3,2025-02-18T15:16:00.000Z,2025-02-18,MESA,.,Relatório De Conferência De Assinaturas,Aguardando Despacho Do Presidente Da Câmara Dos Deputados,Relatório de Conferência de Assinaturas Eletrônicas.,26b0564a2b876dd0d62e59de1b009eff40ba7ac40b149a2085295d20d9bf99ec,2025-02-18T15:16:00.000Z,,true,2026-05-13T14:11:48.486Z
2485204,1,2025-02-24T15:36:00.000Z,2025-02-24,MESA,.,Apresentação De Proposição,Arquivada,"Apresentação da REQ n. 640/2025 (Requerimento de Moção), pelo Deputado Sargento Portugal (PODE/RJ), que \"Requer Moção de Louvor e Regozijo ao Procurador Chefe da PRT 1ª Região Fábio Goulart Villela pelos excelentes serviços prestados ao estado do Rio de Janeiro como Secretário de Segurança Institucional do MPT\".",332d9938c3b3742532a4334ee35bbbdadb1f7fb58b5ef26d201061a9bb4ba24c,2025-02-24T15:36:00.000Z,,true,2026-05-13T14:11:48.486Z
2485530,1,2025-02-26T13:35:00.000Z,2025-02-26,MESA,.,Apresentação De Proposição,Aguardando Encaminhamento,"Apresentação do RIC n. 559/2025 (Requerimento de Informação), pelo Deputado Filipe Barros (PL/PR), que \"Solicita o envio de expediente ao Ministro de Estado de Minas e Energia\".",d63bf6269a6cc69a3b1fd64ec5b8251a909a2de21496a3e9d3cc49df69ae9a50,2025-02-26T13:35:00.000Z,,true,2026-05-13T14:11:48.486Z
2482130,16,2025-06-09T00:00:00.000Z,2025-06-09,1SECM,.,Providência Interna - Comunicação De Resposta Ostensiva,Aguardando Remessa Ao Arquivo,Encaminhamento de resposta por meio do sistema Infoleg,b2e7e5d7dbf1ef4097bae8a0aa2aa6b6f660d85ac5f3bd41dc7ed8b3ddee35ff,2025-06-09T00:00:00.000Z,,true,2026-05-13T14:11:48.486Z
2482707,1,2025-02-04T14:02:00.000Z,2025-02-04,MESA,.,Apresentação De Proposição,Tramitação Finalizada,"Apresentação da REQ n. 164/2025 (Requerimento de Moção), pelo Deputado Pastor Henrique Vieira (PSOL/RJ -Fdr PSOL-REDE), que \"Requer Moção de Aplauso e Reconhecimento a Milton Nascimento, por toda a sua inestimável contribuição à cultura brasileira, representando-a em importante premiação internacional\".",2b03bf8537a1935ae925b064d9cca212f42a0d7bbfb0a740fc4d0bb98a92e55b,2025-02-04T14:02:00.000Z,,true,2026-05-13T14:11:48.486Z
2483469,1,2025-02-06T19:42:00.000Z,2025-02-06,MESA,.,Apresentação De Proposição,,"Apresentação do DOC n. 13/2025 (Ofício do Senado Federal), pelo Senado Federal, que \"Comunica restituição de Projeto de Lei sancionado\".",a6fdd4da60a83e26e376c3500235946cbceee53c81af092d146877469d6b54cf,2025-02-06T19:42:00.000Z,,true,2026-05-13T14:11:48.486Z
2485530,15,2025-04-07T00:00:00.000Z,2025-04-07,1SECM,.,Remessa A Ministério,Aguardando Remessa Ao Arquivo,"Remessa por meio do Ofício 1ªSec/RI/E nº 57/2025, ao Ministro de Estado de Minas e Energia.",1362f589c31165e010bdc3b0aec0ef141e710077b1a9d63da2ff0968d4ca5f42,2025-04-07T00:00:00.000Z,,true,2026-05-13T14:11:48.486Z
2482130,13,2025-02-12T12:29:00.000Z,2025-02-12,1SECM,.,Recebimento,Aguardando Remessa Ao Arquivo,Recebimento pela 1SECM.,e99c8dde8b34f7502d2a5bf9e7075af576f26d2a78e2ecef3fc85f2922ac51f2,2025-02-12T12:29:00.000Z,,true,2026-05-13T14:11:48.486Z
2482707,6,2025-02-11T18:43:00.000Z,2025-02-11,MESA,.,Distribuição,Tramitação Finalizada,"Publique-se e, após, arquive-se.",0b4b0d7cd4c1434514d2ab4828bd3e1f7c556288c671ed73e6e3786abe486e12,2025-02-11T18:43:00.000Z,,true,2026-05-13T14:11:48.486Z
2485530,6,2025-03-12T12:16:00.000Z,2025-03-12,1VIPR,.,Recebimento,Aguardando Elaboração Do Parecer Pelo(a) Relator(a),Recebimento pela 1VIPR.,6b3cb1f22218633f9a20f712a6d0fd16f69e9d0fdeb4604179b52d8f3ccd3a0d,2025-03-12T12:16:00.000Z,,true,2026-05-13T14:11:48.486Z
2485530,10,2025-03-19T20:41:00.000Z,2025-03-19,MESA,.,Distribuição,Aguardando Encaminhamento,"Aprovação pelo Presidente, Dep. Hugo Motta, \"ad referendum\" da Mesa, do parecer do senhor Deputado Altineu Côrtes, Primeiro Vice-Presidente, pelo encaminhamento.",6d8010ab13198cd51e6e758ead6055b68b9417df1386085d8202a61c1caa66ec,2025-03-19T20:41:00.000Z,,true,2026-05-13T14:11:48.486Z
2485530,14,2025-03-21T14:59:00.000Z,2025-03-21,1SECM,.,Recebimento,Aguardando Remessa Ao Arquivo,Recebimento pela 1SECM.,6fb194c8b4a546c1c9162563d38f96c3464a34e556021e026fab53945d3eb615,2025-03-21T14:59:00.000Z,,true,2026-05-13T14:11:48.486Z
2484957,1,2025-02-20T11:28:00.000Z,2025-02-20,MESA,.,Apresentação De Proposição,,"Apresentação do PRL n. 1 MESA (Parecer do Relator), pela 1ª Vice-Presidência da Câmara dos Deputados.",29ea18f3012f211122d4c8305a32d3700a8474bcfa07a0fbac78d3572e8951b0,2025-02-20T11:28:00.000Z,,true,2026-05-13T14:11:48.486Z
2485530,7,2025-03-14T09:30:00.000Z,2025-03-14,MESA,.,Recebimento - Relator(a),Aguardando Encaminhamento,"Apresentação do PRL n. 1 MESA (Parecer do Relator), pela 1ª Vice-Presidência da Câmara dos Deputados.",c0d22a13029d69ad20356a89ab7878462c9f8f553c7c20c08328ae0c6bbe2327,2025-03-14T09:30:00.000Z,,true,2026-05-13T14:11:48.486Z
2482130,15,2025-06-06T00:00:00.000Z,2025-06-06,1SECM,.,Recebimento De Resposta,Aguardando Remessa Ao Arquivo,Recebimento de resposta conforme 89/2025/INDIC-PARLAMENTAR/SEPAR/SRI/PR,48196a780806a9a9c9cf90f153a48a341d3af8a32df61d0354c3b9d01b9368df,2025-06-06T00:00:00.000Z,,true,2026-05-13T14:11:48.486Z
2485530,5,2025-03-07T00:00:00.000Z,2025-03-07,MESA,.,Designação De Relator(a),Aguardando Encaminhamento,"Designado Relator, Dep. Altineu Côrtes (PL-RJ), 1º Vice-Presidente",953d595aad2291d2905e878f461a24cdd0c4f3e8210fd530efe7bb4e0895dc1b,2025-03-07T00:00:00.000Z,,true,2026-05-13T14:11:48.486Z
2484905,1,2025-02-20T11:22:00.000Z,2025-02-20,MESA,.,Apresentação De Proposição,,"Apresentação do PRL n. 1 MESA (Parecer do Relator), pela 1ª Vice-Presidência da Câmara dos Deputados.",6b6b56e8ab3fb4b0f0b10c0331e14efcd60da2a43e5c74b60c79e7ba9c1d722c,2025-02-20T11:22:00.000Z,,true,2026-05-13T14:11:48.486Z
