part_sg_partido,desp_tx_segmento_despesa,desp_tx_tipo_despesa,data_nr_ano,data_tx_ano_mes,part_qt_responsaveis,part_qt_deputados,part_qt_documentos,part_qt_fornecedores,part_vl_total_documento,part_vl_total_glosa,part_vl_total_liquido,part_vl_medio_liquido,part_pc_participacao_segmento
AVANTE,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",2024,2024-10,1,1,1,1,1050.00,0.00,1050.00,1050.000000,0.60
AVANTE,Viagens,Passagem Aérea - Rpa,2024,2024-10,1,1,1,1,3030.34,0.00,3030.34,3030.340000,1.73
AVANTE,Outros,"Passagens Terrestres, Marítimas Ou Fluviais",2024,2024-10,1,1,1,1,140.57,0.00,140.57,140.570000,0.08
AVANTE,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,2024,2024-10,4,4,15,15,22041.53,117.06,21924.47,1461.631333,12.55
AVANTE,Locomoção,Locação Ou Fretamento De Veículos Automotores,2024,2024-10,5,5,6,6,48780.00,0.00,48780.00,8130.000000,27.92
AVANTE,Alimentação,Fornecimento De Alimentação Do Parlamentar,2024,2024-10,1,1,16,6,569.76,0.00,569.76,35.610000,0.33
AVANTE,Viagens,Passagem Aérea - Sigepa,2024,2024-10,5,5,39,0,24616.76,0.00,24616.76,384.636875,14.09
AVANTE,Combustível,Combustíveis E Lubrificantes.,2024,2024-10,5,5,62,39,12234.97,0.00,12234.97,197.338226,7.00
AVANTE,Comunicação,Telefonia,2024,2024-10,4,4,7,4,2964.41,242.75,2721.66,388.808571,1.56
AVANTE,Publicidade,Divulgação Da Atividade Parlamentar.,2024,2024-10,4,4,20,17,58224.08,0.00,58224.08,2911.204000,33.33
AVANTE,Outros,"Serviço De Táxi, Pedágio E Estacionamento",2024,2024-10,2,2,43,6,1009.89,31.46,978.43,22.754186,0.56
AVANTE,Outros,Serviço De Segurança Prestado Por Empresa Especializada.,2024,2024-10,1,1,1,1,429.90,0.00,429.90,429.900000,0.25
AVANTE,Comunicação,Telefonia,2024,2024-11,4,4,9,5,3318.67,266.30,3052.37,339.152222,1.08
AVANTE,Alimentação,Fornecimento De Alimentação Do Parlamentar,2024,2024-11,1,1,6,4,222.47,0.00,222.47,37.078333,0.08
AVANTE,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,2024,2024-11,4,4,15,15,18824.29,102.70,18721.59,1248.106000,6.63
AVANTE,Outros,Serviço De Segurança Prestado Por Empresa Especializada.,2024,2024-11,1,1,1,1,429.90,0.00,429.90,429.900000,0.15
AVANTE,Combustível,Combustíveis E Lubrificantes.,2024,2024-11,5,5,72,33,18355.42,0.00,18355.42,254.936389,6.50
AVANTE,Locomoção,Locação Ou Fretamento De Veículos Automotores,2024,2024-11,6,6,15,7,105547.00,9148.00,96399.00,6426.600000,34.16
AVANTE,Viagens,Passagem Aérea - Sigepa,2024,2024-11,6,6,66,0,78980.93,0.00,78980.93,831.378211,27.99
AVANTE,Outros,"Serviço De Táxi, Pedágio E Estacionamento",2024,2024-11,2,2,34,5,1053.67,3.59,1050.08,30.884706,0.37
