sk_resp_ceap,id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,desp_tx_segmento_despesa,desp_tx_tipo_despesa,forn_fl_cnpj_suspeito,forn_tx_motivo_cnpj_suspeito,forn_tx_status_consulta_cnpj,forn_tx_situacao_cadastral,qt_fornecedores,qt_documentos,desp_vl_total_liquido,vl_media_categoria_uf,vl_desvio_categoria_uf,desp_nr_zscore,desp_tx_classificacao_anomalia
503,160510,Luis Tibé,AVANTE,MG,Combustível,Combustíveis E Lubrificantes.,0,Sem indício cadastral crítico,FOUND,ATIVA,192,452,75664.30,65306.104375,92314.0005265802,0.1122,Comportamento esperado
180,62881,Danilo Forte,PP,CE,Alimentação,Fornecimento De Alimentação Do Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,89,211,18888.06,4778.337742,9185.089924635726,1.5362,Comportamento esperado
689,161440,Pezenti,MDB,SC,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Documento não consultado por não ser CNPJ,NOT_APPLICABLE,,1,38,115600.00,70964.571200,106769.4367602354,0.4181,Comportamento esperado
404,74273,Jefferson Campos,PL,SP,Publicidade,Divulgação Da Atividade Parlamentar.,0,Sem indício cadastral crítico,FOUND,ATIVA,7,36,82877.80,243741.226243,313657.1515008437,-0.5129,Comportamento esperado
347,160673,Giovani Cherini,PL,RS,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",0,Sem indício cadastral crítico,FOUND,ATIVA,58,190,63360.80,21826.986437,35658.661568585754,1.1648,Comportamento esperado
342,74270,Gilberto Nascimento,PODE,SP,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,5,49,187210.21,98538.487659,143509.98800071477,0.6179,Comportamento esperado
448,204372,Julio Cesar Ribeiro,REPUBLICANOS,DF,Combustível,Combustíveis E Lubrificantes.,0,Sem indício cadastral crítico,FOUND,ATIVA,72,218,53152.74,33372.670769,51515.7382887601,0.384,Comportamento esperado
406,204435,Jesus Sérgio,PDT,AC,Publicidade,Divulgação Da Atividade Parlamentar.,1,Situação cadastral não ativa: INAPTA,FOUND,INAPTA,1,5,7500.00,295132.464706,394989.3569390969,-0.7282,Fornecedor com CNPJ suspeito
878,160632,Zé Silva,UNIÃO,MG,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",0,Sem indício cadastral crítico,FOUND,ATIVA,49,116,34429.73,17018.453084,26330.369533202334,0.6613,Comportamento esperado
783,204387,Sargento Fahur,PL,PR,Alimentação,Fornecimento De Alimentação Do Parlamentar,1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,3,6,220.36,4173.948542,8441.04850518495,-0.4684,Fornecedor com CNPJ suspeito
149,220666,Coronel Meira,PL,PE,Viagens,Passagem Aérea - Sigepa,,,,,0,246,290839.07,221741.150682,163177.94412569836,0.4235,Comportamento esperado
93,160538,Bohn Gass,PT,RS,Comunicação,Telefonia,0,Sem indício cadastral crítico,FOUND,ATIVA,6,271,46680.33,19321.830435,18898.364290143905,1.4477,Comportamento esperado
346,220531,Gilvan Maximo,REPUBLICANOS,DF,Publicidade,Divulgação Da Atividade Parlamentar.,1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,4,28,383823.10,274983.723704,375023.4293293225,0.2902,Fornecedor com CNPJ suspeito
815,178922,Tadeu Alencar,PSB,PE,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,16,108,84488.81,90785.734524,140277.34198893898,-0.0449,Comportamento esperado
700,204565,Professora Dayane Pimentel,UNIÃO,BA,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Documento não consultado por não ser CNPJ,NOT_APPLICABLE,,1,10,40204.00,98257.521290,134321.8726415135,-0.4322,Comportamento esperado
244,178994,Dulce Miranda,MDB,TO,Serviços profissionais,"Consultorias, Pesquisas E Trabalhos Técnicos.",0,Sem indício cadastral crítico,FOUND,ATIVA,3,12,160000.00,116859.636364,127191.31032210709,0.3392,Comportamento esperado
864,224333,Welter,PT,PR,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,2,36,122152.50,113439.957419,130977.93601797776,0.0665,Comportamento esperado
716,221378,Reginete Bispo,PT,RS,Outros,"Passagens Terrestres, Marítimas Ou Fluviais",0,Sem indício cadastral crítico,FOUND,ATIVA,2,2,329.15,4236.036552,8253.072405382596,-0.4734,Comportamento esperado
861,220601,Washington Quaquá,PT,RJ,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,2,47,203110.00,162239.394390,163272.60476613723,0.2503,Comportamento esperado
250,204541,Eduardo Bismarck,PDT,CE,Viagens,Passagem Aérea - Rpa,0,Sem indício cadastral crítico,FOUND,ATIVA,2,10,8993.35,32586.001200,51600.505956913454,-0.4572,Comportamento esperado
412,204546,Joice Hasselmann,PSDB,SP,Publicidade,Divulgação Da Atividade Parlamentar.,1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,2,12,50800.00,243741.226243,313657.1515008437,-0.6151,Fornecedor com CNPJ suspeito
698,204383,Professor Israel Batista,PSB,DF,Publicidade,Divulgação Da Atividade Parlamentar.,1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,1,3,17400.00,274983.723704,375023.4293293225,-0.6868,Fornecedor com CNPJ suspeito
433,74554,José Rocha,UNIÃO,BA,Alimentação,Fornecimento De Alimentação Do Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,2,2,147.27,5334.958511,10548.888785765435,-0.4918,Comportamento esperado
374,220672,Henderson Pinto,UNIÃO,PA,Outros,"Passagens Terrestres, Marítimas Ou Fluviais",0,Sem indício cadastral crítico,FOUND,ATIVA,1,2,140.00,1078.217500,1379.000592418896,-0.6804,Comportamento esperado
338,204394,Gervásio Maia,PSB,PB,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,3,15,86885.33,197980.822174,165434.59936969794,-0.6715,Comportamento esperado
396,73531,Ivan Valente,PSOL,SP,Viagens,Passagem Aérea - Rpa,0,Sem indício cadastral crítico,FOUND,ATIVA,2,17,27195.18,24943.515352,36157.13967829913,0.0623,Comportamento esperado
385,204373,Hélio Costa,PSD,SC,Serviços profissionais,"Consultorias, Pesquisas E Trabalhos Técnicos.",0,Sem indício cadastral crítico,FOUND,ATIVA,1,6,49000.00,54951.871000,53748.576570772435,-0.1107,Comportamento esperado
634,73463,Osmar Serraglio,PP,PR,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,2,14,134475.40,113439.957419,130977.93601797776,0.1606,Comportamento esperado
246,204562,Edilázio Júnior,PSD,MA,Publicidade,Divulgação Da Atividade Parlamentar.,0,Sem indício cadastral crítico,FOUND,ATIVA,4,11,261150.00,299945.123175,386285.4495039867,-0.1004,Comportamento esperado
697,204390,Professor Alcides,PSDB,GO,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,2,28,540966.20,100447.486545,162486.21407041358,2.7111,Possível anomalia financeira
598,179001,Márcio Biolchi,MDB,RS,Publicidade,Divulgação Da Atividade Parlamentar.,1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,2,15,71013.00,215724.063125,265101.600265673,-0.5459,Fornecedor com CNPJ suspeito
723,153423,Renilce Nicodemos,MDB,PA,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,1,2,20240.00,121907.551481,147158.0353457022,-0.6909,Comportamento esperado
776,160635,Ruy Carneiro,PSC,PB,Combustível,Combustíveis E Lubrificantes.,1,Situação cadastral não ativa: INAPTA,FOUND,INAPTA,1,1,4635.96,61582.608974,85760.8839439169,-0.664,Fornecedor com CNPJ suspeito
69,141391,Arnaldo Jardim,CIDADANIA,SP,Viagens,Passagem Aérea - Reembolso,0,Sem indício cadastral crítico,FOUND,ATIVA,1,2,3226.65,9758.571000,11443.414965885137,-0.5708,Comportamento esperado
692,73486,Pompeo De Mattos,PDT,RS,Alimentação,Fornecimento De Alimentação Do Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,101,130,11957.30,7368.085075,13657.337051272762,0.336,Comportamento esperado
768,178935,Rossoni,PSDB,PR,Combustível,Combustíveis E Lubrificantes.,0,Sem indício cadastral crítico,FOUND,ATIVA,44,59,14833.09,57944.345500,82353.4495793919,-0.5235,Comportamento esperado
450,204457,Juninho Do Pneu,UNIÃO,RJ,Combustível,Combustíveis E Lubrificantes.,0,Sem indício cadastral crítico,FOUND,ATIVA,45,174,57226.62,44023.319398,62812.667137756165,0.2102,Comportamento esperado
188,220625,Delegada Ione,AVANTE,MG,Outros,"Passagens Terrestres, Marítimas Ou Fluviais",0,Sem indício cadastral crítico,FOUND,ATIVA,8,16,4139.86,3858.240000,6358.142634643256,0.0443,Comportamento esperado
384,160674,Hugo Motta,REPUBLICANOS,PB,Publicidade,Divulgação Da Atividade Parlamentar.,1,Situação cadastral não ativa: INAPTA,FOUND,INAPTA,1,21,11250.00,324815.111538,407718.48875224456,-0.7691,Fornecedor com CNPJ suspeito
297,204407,Fernanda Melchionna,PSOL,RS,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,3,101,102446.30,109428.142500,149558.61424927576,-0.0467,Fornecedor com CNPJ suspeito
508,73778,Luiz Carlos Hauly,PODE,PR,Outros,"Serviço De Táxi, Pedágio E Estacionamento",0,Sem indício cadastral crítico,FOUND,ATIVA,4,33,22629.53,5713.999474,13397.131596894355,1.2626,Comportamento esperado
588,178985,Miguel Lombardi,PL,SP,Viagens,Passagem Aérea - Rpa,0,Sem indício cadastral crítico,FOUND,ATIVA,2,76,48949.32,24943.515352,36157.13967829913,0.6639,Comportamento esperado
128,73441,Celso Russomanno,REPUBLICANOS,SP,Comunicação,Telefonia,0,Sem indício cadastral crítico,FOUND,ATIVA,2,252,119896.78,19889.940211,25751.500071775903,3.8835,Anomalia financeira extrema
293,204398,Felipe Francischini,UNIÃO,PR,Outros,"Serviço De Táxi, Pedágio E Estacionamento",0,Sem indício cadastral crítico,FOUND,ATIVA,2,4,132.48,5713.999474,13397.131596894355,-0.4166,Comportamento esperado
713,115200,Raniery Paulino,REPUBLICANOS,PB,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,1,1,333.80,40088.436364,59072.75761932022,-0.673,Comportamento esperado
270,161550,Emidinho Madeira,PL,MG,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,1,15,1628.95,123562.947566,162703.54342443834,-0.7494,Fornecedor com CNPJ suspeito
294,204371,Felipe Rigoni,UNIÃO,ES,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",0,Sem indício cadastral crítico,FOUND,ATIVA,17,20,9840.40,14136.593684,23816.6886480095,-0.1804,Comportamento esperado
76,74646,Aécio Neves,PSDB,MG,Publicidade,Divulgação Da Atividade Parlamentar.,1,Situação cadastral não ativa: INAPTA,FOUND,INAPTA,1,1,1500.00,194891.353020,276881.75990132586,-0.6985,Fornecedor com CNPJ suspeito
241,220686,Duarte Jr.,AVANTE,MA,Publicidade,Divulgação Da Atividade Parlamentar.,0,Sem indício cadastral crítico,FOUND,ATIVA,12,59,387840.20,299945.123175,386285.4495039867,0.2275,Comportamento esperado
364,220568,Gustavo Gayer,PL,GO,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",0,Sem indício cadastral crítico,FOUND,ATIVA,4,7,3170.18,7024.380500,8737.204954294128,-0.4411,Comportamento esperado
448,204372,Julio Cesar Ribeiro,REPUBLICANOS,DF,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",0,Sem indício cadastral crítico,FOUND,ATIVA,3,3,2304.84,9328.483333,6291.891063617784,-1.1163,Comportamento esperado
223,220614,Dr. Daniel Soranz,PSD,RJ,Outros,"Serviço De Táxi, Pedágio E Estacionamento",0,Sem indício cadastral crítico,FOUND,ATIVA,5,37,2057.11,8455.730411,14321.838989715481,-0.4468,Comportamento esperado
463,204536,Kim Kataguiri,UNIÃO,SP,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,1,5,1850.10,98538.487659,143509.98800071477,-0.6737,Comportamento esperado
350,152605,Glauber Braga,PSOL,RJ,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,2,6,22800.00,162239.394390,163272.60476613723,-0.854,Comportamento esperado
215,160758,Domingos Sávio,PL,MG,Comunicação,Telefonia,1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,1,3,897.14,15607.667083,19082.29985422686,-0.7709,Fornecedor com CNPJ suspeito
26,204571,Alex Santana,REPUBLICANOS,BA,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",0,Sem indício cadastral crítico,FOUND,ATIVA,1,1,378.00,14559.116889,26542.375379101115,-0.5343,Comportamento esperado
820,220598,Tarcísio Motta,PSOL,RJ,Viagens,Passagem Aérea - Reembolso,0,Sem indício cadastral crítico,FOUND,ATIVA,1,1,2547.41,9840.865893,10669.362639943789,-0.6836,Comportamento esperado
112,213762,Carla Dickson,PL,RN,Publicidade,Divulgação Da Atividade Parlamentar.,0,Sem indício cadastral crítico,FOUND,ATIVA,11,56,339599.78,246483.533462,299233.5953313259,0.3112,Comportamento esperado
552,204431,Marcos Aurélio Sampaio,MDB,PI,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Documento não consultado por não ser CNPJ,NOT_APPLICABLE,,1,1,1275.00,64892.367419,74159.10998309037,-0.8578,Comportamento esperado
682,204395,Pedro Lupion,PP,PR,Serviços profissionais,"Consultorias, Pesquisas E Trabalhos Técnicos.",0,Sem indício cadastral crítico,FOUND,ATIVA,2,13,174450.00,58752.690645,58141.82428785019,1.9899,Comportamento esperado
243,220623,Duda Salabert,PSOL,MG,Publicidade,Divulgação Da Atividade Parlamentar.,1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,1,10,23240.00,194891.353020,276881.75990132586,-0.6199,Fornecedor com CNPJ suspeito
476,74156,Leonardo Monteiro,PT,MG,Serviços profissionais,"Consultorias, Pesquisas E Trabalhos Técnicos.",0,Sem indício cadastral crítico,FOUND,ATIVA,1,3,27000.00,50370.301935,57079.85828457048,-0.4094,Comportamento esperado
495,74478,Luciano Bivar,UNIÃO,PE,Locomoção,Locação Ou Fretamento De Veículos Automotores,1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,1,2,6517.00,220869.240392,185976.71020526288,-1.1526,Fornecedor com CNPJ suspeito
499,178954,Lucio Mosquini,MDB,RO,Combustível,Combustíveis E Lubrificantes.,0,Sem indício cadastral crítico,FOUND,ATIVA,33,66,64436.79,64922.175357,86632.41303886044,-0.0056,Comportamento esperado
445,220640,Juliana Cardoso,PT,SP,Alimentação,Fornecimento De Alimentação Do Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,15,28,1482.26,3366.001170,5609.697337170304,-0.3358,Comportamento esperado
31,220554,Alexandre Lindenmeyer,PT,RS,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,1,Erro na consulta pública de CNPJ,ERROR,,1,26,4675.40,109428.142500,149558.61424927576,-0.7004,Fornecedor com CNPJ suspeito
297,204407,Fernanda Melchionna,PSOL,RS,Viagens,Passagem Aérea - Sigepa,,,,,0,354,372097.64,223297.576531,126627.95953182003,1.1751,Comportamento esperado
732,204362,Ricardo Guidi,PL,SC,Combustível,Combustíveis E Lubrificantes.,0,Sem indício cadastral crítico,FOUND,ATIVA,147,512,133795.31,63943.250339,85631.6159933909,0.8157,Comportamento esperado
566,220655,Mario Frias,PL,SP,Publicidade,Divulgação Da Atividade Parlamentar.,0,Sem indício cadastral crítico,FOUND,ATIVA,8,56,431227.00,243741.226243,313657.1515008437,0.5977,Comportamento esperado
324,160666,Félix Mendonça Júnior,PDT,BA,Combustível,Combustíveis E Lubrificantes.,0,Sem indício cadastral crítico,FOUND,ATIVA,155,473,121747.07,76280.976842,110667.4963849575,0.4108,Comportamento esperado
145,204376,Coronel Armando,PL,SC,Combustível,Combustíveis E Lubrificantes.,0,Sem indício cadastral crítico,FOUND,ATIVA,29,239,54471.18,63943.250339,85631.6159933909,-0.1106,Comportamento esperado
369,178964,Heitor Schuch,PSB,RS,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",0,Sem indício cadastral crítico,FOUND,ATIVA,23,63,8421.00,21826.986437,35658.661568585754,-0.376,Comportamento esperado
505,204448,Luiz Antonio Corrêa,PP,RJ,Outros,"Serviço De Táxi, Pedágio E Estacionamento",0,Sem indício cadastral crítico,FOUND,ATIVA,7,34,8092.44,8455.730411,14321.838989715481,-0.0254,Comportamento esperado
583,74428,Mendonça Filho,PL,PE,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",0,Sem indício cadastral crítico,FOUND,ATIVA,9,38,31882.28,17089.374528,23447.97906027458,0.6309,Comportamento esperado
302,204427,Fernando Rodolfo,PL,PE,Viagens,Passagem Aérea - Sigepa,,,,,0,127,177144.05,221741.150682,163177.94412569836,-0.2733,Comportamento esperado
823,204466,Tereza Nelma,PSD,AL,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,1,12,63600.00,55960.761000,68535.24676411308,0.1115,Fornecedor com CNPJ suspeito
190,204451,Delegado Antônio Furtado,UNIÃO,RJ,Outros,"Serviço De Táxi, Pedágio E Estacionamento",0,Sem indício cadastral crítico,FOUND,ATIVA,20,387,8506.17,8455.730411,14321.838989715481,0.0035,Comportamento esperado
783,204387,Sargento Fahur,PSD,PR,Viagens,Passagem Aérea - Sigepa,,,,,0,46,58839.24,173223.575536,125997.34942419773,-0.9078,Comportamento esperado
656,141516,Paulo Abi-ackel,PSDB,MG,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,6,81,315758.46,199358.988889,190617.58878325575,0.6106,Comportamento esperado
241,220686,Duarte Jr.,AVANTE,MA,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,12,78,127403.33,64195.130784,109861.24089764054,0.5753,Comportamento esperado
164,220555,Daiana Santos,PCDOB,RS,Combustível,Combustíveis E Lubrificantes.,1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,3,9,1226.13,60520.148547,97388.05968907535,-0.6088,Fornecedor com CNPJ suspeito
499,178954,Lucio Mosquini,MDB,RO,Publicidade,Divulgação Da Atividade Parlamentar.,1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,2,2,3490.00,289552.191071,359934.1329827757,-0.7948,Fornecedor com CNPJ suspeito
797,204360,Silvia Cristina,PL,RO,Alimentação,Fornecimento De Alimentação Do Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,5,7,319.49,3332.884500,5228.833199412531,-0.5763,Comportamento esperado
635,73692,Osmar Terra,MDB,RS,Combustível,Combustíveis E Lubrificantes.,1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,2,2,584.07,60520.148547,97388.05968907535,-0.6154,Fornecedor com CNPJ suspeito
452,204574,Junior Lourenço,MDB,MA,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,4,28,338416.00,122090.952683,112418.39663710551,1.9243,Comportamento esperado
762,163321,Ronaldo Nogueira,REPUBLICANOS,RS,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,5,43,143545.05,182736.733051,177547.8783363845,-0.2207,Comportamento esperado
517,204526,Luiz Philippe De Orleans E Bragança,PL,SP,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,1,22,242000.00,147254.510948,139673.23431152088,0.6783,Comportamento esperado
183,205548,David Miranda,PDT,RJ,Viagens,Passagem Aérea - Rpa,0,Sem indício cadastral crítico,FOUND,ATIVA,2,6,4338.37,24365.871064,36425.48190750471,-0.5498,Comportamento esperado
440,112437,João Marcelo Souza,MDB,MA,Comunicação,Telefonia,0,Sem indício cadastral crítico,FOUND,ATIVA,3,16,4418.20,18512.680625,18171.321371846523,-0.7756,Comportamento esperado
564,204432,Marina Santos,REPUBLICANOS,PI,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,1,2,10870.92,264114.661053,215307.58327079436,-1.1762,Comportamento esperado
559,220668,Maria Arraes,PSB,PE,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",0,Sem indício cadastral crítico,FOUND,ATIVA,20,29,33276.03,17089.374528,23447.97906027458,0.6903,Comportamento esperado
623,74352,Nilson Pinto,PSDB,PA,Outros,Serviço De Segurança Prestado Por Empresa Especializada.,0,Sem indício cadastral crítico,FOUND,ATIVA,1,10,10739.13,60619.565000,70541.58767406961,-0.7071,Comportamento esperado
464,151208,Laercio Oliveira,PP,SE,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,1,1,499.39,43647.935652,66268.36061748704,-0.6511,Comportamento esperado
627,66179,Norma Ayub,PP,ES,Publicidade,Divulgação Da Atividade Parlamentar.,0,Sem indício cadastral crítico,FOUND,ATIVA,5,8,23850.02,254942.876552,301625.34822291706,-0.7662,Comportamento esperado
384,160674,Hugo Motta,REPUBLICANOS,PB,Viagens,Passagem Aérea - Sigepa,,,,,0,318,432450.49,168235.151250,151254.20824234045,1.7468,Comportamento esperado
579,220609,Maurício Carvalho,UNIÃO,RO,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,9,74,120554.20,40149.183103,63678.43736701476,1.2627,Comportamento esperado
6,221328,Adilson Barroso,PL,SP,Outros,"Serviço De Táxi, Pedágio E Estacionamento",0,Sem indício cadastral crítico,FOUND,ATIVA,14,170,35459.47,11967.060840,16796.655097373645,1.3986,Comportamento esperado
533,156190,Marcel Van Hattem,NOVO,RS,Serviços profissionais,"Consultorias, Pesquisas E Trabalhos Técnicos.",0,Sem indício cadastral crítico,FOUND,ATIVA,2,13,18330.00,39996.666667,35707.577110401064,-0.6068,Comportamento esperado
709,220532,Rafael Prudente,MDB,DF,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",1,Erro na consulta pública de CNPJ,ERROR,,1,1,11231.20,9328.483333,6291.891063617784,0.3024,Fornecedor com CNPJ suspeito
346,220531,Gilvan Maximo,REPUBLICANOS,DF,Publicidade,Divulgação Da Atividade Parlamentar.,0,Sem indício cadastral crítico,FOUND,ATIVA,8,38,257722.74,274983.723704,375023.4293293225,-0.046,Comportamento esperado
526,139285,Lídice Da Mata,PSB,BA,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,5,96,377687.97,292409.611930,213979.496522466,0.3985,Comportamento esperado
417,214694,Jorge Goetten,REPUBLICANOS,SC,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,1,35,164415.00,154711.621212,151032.92349497412,0.0642,Comportamento esperado
490,204404,Lucas Redecker,PSDB,RS,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,8,74,137427.15,109428.142500,149558.61424927576,0.1872,Comportamento esperado
134,141439,Chico D'angelo,PDT,RJ,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,1,13,72500.00,162239.394390,163272.60476613723,-0.5496,Comportamento esperado
74,220577,Augusto Puppio,MDB,AP,Publicidade,Divulgação Da Atividade Parlamentar.,0,Sem indício cadastral crítico,FOUND,ATIVA,11,25,518099.00,282209.245429,388109.6753004129,0.6078,Comportamento esperado
510,74041,Luiz Couto,PT,PB,Publicidade,Divulgação Da Atividade Parlamentar.,0,Sem indício cadastral crítico,FOUND,ATIVA,18,187,305007.14,324815.111538,407718.48875224456,-0.0486,Comportamento esperado
425,215043,Josivaldo Jp,UNIÃO,MA,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",0,Sem indício cadastral crítico,FOUND,ATIVA,3,15,11212.70,16546.215714,24945.906621691578,-0.2138,Comportamento esperado
132,204490,Charlles Evangelista,PP,MG,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,3,29,74328.76,199358.988889,190617.58878325575,-0.6559,Comportamento esperado
808,92776,Stefano Aguiar,PSD,MG,Alimentação,Fornecimento De Alimentação Do Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,51,128,7339.08,3421.773553,6721.942950865462,0.5828,Comportamento esperado
400,220697,Jadyel Alencar,REPUBLICANOS,PI,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",0,Sem indício cadastral crítico,FOUND,ATIVA,7,14,12090.73,7549.470769,12134.625273294365,0.3742,Comportamento esperado
235,204412,Dr. Zacharias Calil,UNIÃO,GO,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,1,24,115500.00,189142.637500,142661.57624064668,-0.5162,Comportamento esperado
50,220632,Ana Pimentel,PT,MG,Comunicação,Telefonia,0,Sem indício cadastral crítico,FOUND,ATIVA,3,38,5863.85,15607.667083,19082.29985422686,-0.5106,Comportamento esperado
115,204361,Carlos Chiodini,MDB,SC,Comunicação,Telefonia,0,Sem indício cadastral crítico,FOUND,ATIVA,1,32,3167.62,7776.667391,7284.093764458291,-0.6328,Comportamento esperado
542,160161,Marcelo Queiroz,PSDB,RJ,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,2,21,165713.04,162239.394390,163272.60476613723,0.0213,Comportamento esperado
512,229432,Luiz Fernando Vampiro,MDB,SC,Viagens,Passagem Aérea - Sigepa,,,,,0,55,59428.61,213397.721034,170101.01243018164,-0.9052,Comportamento esperado
375,73482,Henrique Fontana,PT,RS,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,4,41,34756.86,109428.142500,149558.61424927576,-0.4993,Comportamento esperado
542,160161,Marcelo Queiroz,PSDB,RJ,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",1,Erro na consulta pública de CNPJ,ERROR,,1,1,2706.44,13016.628636,21468.959145470457,-0.4802,Fornecedor com CNPJ suspeito
669,74400,Paulo Pimenta,PT,RS,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",0,Sem indício cadastral crítico,FOUND,ATIVA,6,8,2556.00,21826.986437,35658.661568585754,-0.5404,Comportamento esperado
328,115746,Gelson Azevedo,PL,RJ,Publicidade,Divulgação Da Atividade Parlamentar.,0,Sem indício cadastral crítico,FOUND,ATIVA,2,5,191450.00,226781.355120,259582.44863584734,-0.1361,Comportamento esperado
555,220547,Marcos Pollon,PL,MS,Outros,"Serviço De Táxi, Pedágio E Estacionamento",0,Sem indício cadastral crítico,FOUND,ATIVA,2,10,734.30,766.408000,769.6696611663995,-0.0417,Comportamento esperado
