sk_resp_ceap,id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,desp_tx_segmento_despesa,desp_tx_tipo_despesa,forn_fl_cnpj_suspeito,forn_tx_motivo_cnpj_suspeito,forn_tx_status_consulta_cnpj,forn_tx_situacao_cadastral,qt_fornecedores,qt_documentos,desp_vl_total_liquido,vl_media_categoria_uf,vl_desvio_categoria_uf,desp_nr_zscore,desp_tx_classificacao_anomalia
479,74299,Leônidas Cristino,PDT,CE,Publicidade,Divulgação Da Atividade Parlamentar.,0,Sem indício cadastral crítico,FOUND,ATIVA,21,289,450204.00,263931.285395,366906.3702021798,0.5077,Comportamento esperado
560,74398,Maria Do Rosário,PT,RS,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,12,307,573820.17,109428.142500,149558.61424927576,3.1051,Anomalia financeira extrema
255,220589,Eduardo Velloso,SOLIDARIEDADE,AC,Viagens,Passagem Aérea - Sigepa,,,,,0,155,162935.19,131556.873333,92765.04055863072,0.3383,Comportamento esperado
783,204387,Sargento Fahur,PL,PR,Outros,"Serviço De Táxi, Pedágio E Estacionamento",0,Sem indício cadastral crítico,FOUND,ATIVA,14,54,1071.11,5713.999474,13397.131596894355,-0.3466,Comportamento esperado
744,204489,Robério Monteiro,PDT,CE,Combustível,Combustíveis E Lubrificantes.,0,Sem indício cadastral crítico,FOUND,ATIVA,17,28,3800.11,41977.960833,76764.60304100714,-0.4973,Comportamento esperado
16,204549,Aj Albuquerque,PP,CE,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,3,51,33528.55,68348.775082,105244.60317209057,-0.3309,Comportamento esperado
15,204495,Airton Faleiro,PT,PA,Viagens,Passagem Aérea - Sigepa,,,,,0,643,740323.71,266111.307931,195578.09309190325,2.4247,Possível anomalia financeira
342,74270,Gilberto Nascimento,PODE,SP,Viagens,Passagem Aérea - Sigepa,,,,,0,163,204034.91,185430.171967,136227.76556134285,0.1366,Comportamento esperado
442,204474,Juarez Costa,MDB,MT,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,6,38,14572.10,55063.669706,75019.05976556618,-0.5398,Comportamento esperado
433,74554,José Rocha,UNIÃO,BA,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",0,Sem indício cadastral crítico,FOUND,ATIVA,11,29,11203.46,14559.116889,26542.375379101115,-0.1264,Comportamento esperado
225,220688,Dr. Francisco,PT,PI,Combustível,Combustíveis E Lubrificantes.,0,Sem indício cadastral crítico,FOUND,ATIVA,74,470,303018.95,73929.545357,101552.42380940972,2.2559,Possível anomalia financeira
352,107283,Gleisi Hoffmann,PT,PR,Comunicação,Telefonia,0,Sem indício cadastral crítico,FOUND,ATIVA,4,97,15509.94,10984.091277,13121.60062975809,0.3449,Comportamento esperado
330,204473,General Girão,PL,RN,Outros,Serviço De Segurança Prestado Por Empresa Especializada.,0,Sem indício cadastral crítico,FOUND,ATIVA,2,60,8385.68,25140.035000,23694.236069813476,-0.7071,Comportamento esperado
742,220613,Roberto Monteiro Pai,PL,RJ,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",1,Erro na consulta pública de CNPJ,ERROR,,1,10,8901.19,13016.628636,21468.959145470457,-0.1917,Fornecedor com CNPJ suspeito
706,220586,Rafael Brito,MDB,AL,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Documento não consultado por não ser CNPJ,NOT_APPLICABLE,,2,22,89000.00,55960.761000,68535.24676411308,0.4821,Comportamento esperado
516,162332,Luiz Nishimori,PSD,PR,Publicidade,Divulgação Da Atividade Parlamentar.,1,Situação cadastral não ativa: INAPTA,FOUND,INAPTA,2,6,6000.00,263664.052022,329972.5348930845,-0.7809,Fornecedor com CNPJ suspeito
823,204466,Tereza Nelma,PSD,AL,Publicidade,Divulgação Da Atividade Parlamentar.,0,Sem indício cadastral crítico,FOUND,ATIVA,6,23,127986.31,358459.172381,402499.84210100886,-0.5726,Comportamento esperado
841,141552,Valtenir Pereira,MDB,MT,Publicidade,Divulgação Da Atividade Parlamentar.,0,Sem indício cadastral crítico,FOUND,ATIVA,2,2,11666.67,167205.955714,207800.9242977291,-0.7485,Comportamento esperado
857,215044,Vivi Reis,PSOL,PA,Publicidade,Divulgação Da Atividade Parlamentar.,0,Sem indício cadastral crítico,FOUND,ATIVA,5,14,85940.17,319971.475333,323849.5425991789,-0.7227,Comportamento esperado
432,204555,José Ricardo,PT,AM,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",1,CNPJ não encontrado na API pública,NOT_FOUND,,1,1,200.00,3767.283750,3036.5104204941636,-1.1748,Fornecedor com CNPJ suspeito
470,220600,Lebrão,UNIÃO,RO,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,1,23,255100.00,233590.273571,213347.19250523738,0.1008,Comportamento esperado
835,157130,Túlio Gadêlha,REDE,PE,Comunicação,Telefonia,0,Sem indício cadastral crítico,FOUND,ATIVA,3,50,7765.06,10941.974167,12252.099914667077,-0.2593,Comportamento esperado
519,178866,Luizianne Lins,REDE,CE,Outros,Aquisição De Tokens E Certificados Digitais,0,Sem indício cadastral crítico,FOUND,ATIVA,1,1,112.00,287.333333,358.72180493152814,-0.4888,Comportamento esperado
478,92102,Leur Lomanto Júnior,UNIÃO,BA,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",0,Sem indício cadastral crítico,FOUND,ATIVA,5,8,2596.44,14559.116889,26542.375379101115,-0.4507,Comportamento esperado
876,220536,Zé Haroldo Cathedral,UNIÃO,RR,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,4,19,226934.40,156360.151875,107532.52503854835,0.6563,Comportamento esperado
293,204398,Felipe Francischini,UNIÃO,PR,Comunicação,Telefonia,0,Sem indício cadastral crítico,FOUND,ATIVA,2,26,7067.44,10984.091277,13121.60062975809,-0.2985,Comportamento esperado
7,204560,Adolfo Viana,PSDB,BA,Locomoção,Locação Ou Fretamento De Aeronaves,0,Sem indício cadastral crítico,FOUND,ATIVA,2,10,237883.10,81359.287500,83475.1578545966,1.8751,Comportamento esperado
759,160629,Romero Rodrigues,PODE,PB,Comunicação,Telefonia,0,Sem indício cadastral crítico,FOUND,ATIVA,1,9,4600.80,7288.602667,11193.533001502294,-0.2401,Comportamento esperado
230,204439,Dr. Leonardo,REPUBLICANOS,MT,Locomoção,Locação Ou Fretamento De Veículos Automotores,1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,1,2,561.76,134358.602609,119146.49353274485,-1.123,Fornecedor com CNPJ suspeito
178,220557,Daniela Reinehr,PL,SC,Viagens,Passagem Aérea - Sigepa,,,,,0,368,436029.71,213397.721034,170101.01243018164,1.3088,Comportamento esperado
659,204538,Paulo Bengtson,PTB,PA,Combustível,Combustíveis E Lubrificantes.,0,Sem indício cadastral crítico,FOUND,ATIVA,16,37,16519.14,39488.928400,62234.56368268833,-0.3691,Comportamento esperado
514,204455,Luiz Lima,NOVO,RJ,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Documento não consultado por não ser CNPJ,NOT_APPLICABLE,,2,67,215018.16,80988.593819,134414.71100556676,0.9971,Comportamento esperado
31,220554,Alexandre Lindenmeyer,PT,RS,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Documento não consultado por não ser CNPJ,NOT_APPLICABLE,,1,14,14446.60,109428.142500,149558.61424927576,-0.6351,Comportamento esperado
21,160559,Alceu Moreira,MDB,RS,Alimentação,Fornecimento De Alimentação Do Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,200,401,25864.59,7368.085075,13657.337051272762,1.3543,Comportamento esperado
217,227433,Douglas Viegas,UNIÃO,SP,Alimentação,Fornecimento De Alimentação Do Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,5,6,475.81,3366.001170,5609.697337170304,-0.5152,Comportamento esperado
379,73772,Hermes Parcianello,MDB,PR,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",0,Sem indício cadastral crítico,FOUND,ATIVA,18,22,5198.69,18419.328649,34024.43115299299,-0.3886,Comportamento esperado
109,229069,Capitão Samuel,PP,SE,Publicidade,Divulgação Da Atividade Parlamentar.,0,Sem indício cadastral crítico,FOUND,ATIVA,4,12,113166.59,230946.483077,301200.1033422071,-0.391,Comportamento esperado
8,204528,Adriana Ventura,NOVO,SP,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,15,66,27278.25,98538.487659,143509.98800071477,-0.4966,Comportamento esperado
301,92699,Fernando Monteiro,PP,PE,Viagens,Passagem Aérea - Rpa,0,Sem indício cadastral crítico,FOUND,ATIVA,3,18,18077.65,15238.795000,22485.76149111043,0.1263,Comportamento esperado
733,160655,Ricardo Izar,REPUBLICANOS,SP,Publicidade,Divulgação Da Atividade Parlamentar.,0,Sem indício cadastral crítico,FOUND,ATIVA,3,9,149855.00,243741.226243,313657.1515008437,-0.2993,Comportamento esperado
403,220567,Jeferson Rodrigues,PSDB,GO,Viagens,Passagem Aérea - Sigepa,,,,,0,12,16908.87,12997.291429,13545.423262596489,0.2888,Comportamento esperado
856,178992,Vitor Lippi,PSDB,SP,Publicidade,Assinatura De Publicações,0,Sem indício cadastral crítico,FOUND,ATIVA,3,3,1377.53,3369.241333,3418.330377283657,-0.5827,Comportamento esperado
693,160601,Pr. Marco Feliciano,PL,SP,Publicidade,Divulgação Da Atividade Parlamentar.,0,Sem indício cadastral crítico,FOUND,ATIVA,8,33,887897.00,243741.226243,313657.1515008437,2.0537,Possível anomalia financeira
40,226708,Allan Garcês,PP,MA,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",0,Sem indício cadastral crítico,FOUND,ATIVA,25,46,30784.56,16546.215714,24945.906621691578,0.5708,Comportamento esperado
412,204546,Joice Hasselmann,PSDB,SP,Publicidade,Divulgação Da Atividade Parlamentar.,0,Sem indício cadastral crítico,FOUND,ATIVA,7,10,123214.84,243741.226243,313657.1515008437,-0.3843,Comportamento esperado
172,178916,Daniel Coelho,CIDADANIA,PE,Combustível,Combustíveis E Lubrificantes.,1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,4,4,835.93,53506.291935,82942.380015203,-0.635,Fornecedor com CNPJ suspeito
404,74273,Jefferson Campos,PL,SP,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,3,53,245289.51,147254.510948,139673.23431152088,0.7019,Comportamento esperado
3,204554,Abílio Santana,PSC,BA,Alimentação,Fornecimento De Alimentação Do Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,3,7,604.24,5334.958511,10548.888785765435,-0.4485,Comportamento esperado
209,178929,Diego Garcia,UNIÃO,PR,Combustível,Combustíveis E Lubrificantes.,1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,6,8,1250.82,57944.345500,82353.4495793919,-0.6884,Fornecedor com CNPJ suspeito
551,160535,Marcon,PT,RS,Outros,"Passagens Terrestres, Marítimas Ou Fluviais",0,Sem indício cadastral crítico,FOUND,ATIVA,6,9,1463.75,4236.036552,8253.072405382596,-0.3359,Comportamento esperado
162,204355,Da Vitoria,PP,ES,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,17,437,777669.85,101936.796563,164857.25422120074,4.0989,Anomalia financeira extrema
852,141555,Vinicius Carvalho,PL,SP,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,12,263,461783.52,98538.487659,143509.98800071477,2.5311,Possível anomalia financeira
21,160559,Alceu Moreira,MDB,RS,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",0,Sem indício cadastral crítico,FOUND,ATIVA,72,360,84425.65,21826.986437,35658.661568585754,1.7555,Comportamento esperado
144,98148,Cobalchini,MDB,SC,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,4,67,131557.52,154711.621212,151032.92349497412,-0.1533,Comportamento esperado
190,204451,Delegado Antônio Furtado,UNIÃO,RJ,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,0,Documento não consultado por não ser CNPJ,NOT_APPLICABLE,,2,15,13097.10,80988.593819,134414.71100556676,-0.5051,Comportamento esperado
639,204475,Ottaci Nascimento,SOLIDARIEDADE,RR,Serviços profissionais,"Consultorias, Pesquisas E Trabalhos Técnicos.",0,Sem indício cadastral crítico,FOUND,ATIVA,5,9,130000.00,120130.560000,87266.22616779071,0.1131,Comportamento esperado
369,178964,Heitor Schuch,PSD,RS,Alimentação,Fornecimento De Alimentação Do Parlamentar,0,Sem indício cadastral crítico,FOUND,ATIVA,86,304,13063.57,7368.085075,13657.337051272762,0.417,Comportamento esperado
466,98057,Lafayette De Andrada,PL,MG,Combustível,Combustíveis E Lubrificantes.,0,Sem indício cadastral crítico,FOUND,ATIVA,124,399,151985.60,65306.104375,92314.0005265802,0.939,Comportamento esperado
699,204446,Professor Joziel,PATRIOTA,RJ,Publicidade,Divulgação Da Atividade Parlamentar.,0,Sem indício cadastral crítico,FOUND,ATIVA,5,17,109471.00,226781.355120,259582.44863584734,-0.4519,Comportamento esperado
17,178836,Alan Rick,UNIÃO,AC,Viagens,Passagem Aérea - Reembolso,0,Sem indício cadastral crítico,FOUND,ATIVA,2,9,16852.01,9056.415455,5089.4459464667925,1.5317,Comportamento esperado
448,204372,Julio Cesar Ribeiro,REPUBLICANOS,DF,Publicidade,Divulgação Da Atividade Parlamentar.,0,Sem indício cadastral crítico,FOUND,ATIVA,27,139,776774.64,274983.723704,375023.4293293225,1.338,Comportamento esperado
56,204423,André Ferreira,PL,PE,Comunicação,Telefonia,0,Sem indício cadastral crítico,FOUND,ATIVA,7,90,32735.84,10941.974167,12252.099914667077,1.7788,Comportamento esperado
122,164360,Carmen Zanotto,CIDADANIA,SC,Outros,Serviços Postais,0,Sem indício cadastral crítico,FOUND,ATIVA,1,9,1200.19,1043.824167,1437.984649529007,0.1087,Comportamento esperado
48,107970,Ana Paula Leão,PP,MG,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",0,Sem indício cadastral crítico,FOUND,ATIVA,12,66,54972.67,17018.453084,26330.369533202334,1.4415,Comportamento esperado
432,204555,José Ricardo,PT,AM,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,3,13,35253.95,152696.895000,125499.30922769064,-0.9358,Comportamento esperado
402,108338,Jaqueline Cassol,PP,RO,Comunicação,Telefonia,0,Sem indício cadastral crítico,FOUND,ATIVA,2,8,4121.46,15683.564000,17340.40119270922,-0.6668,Comportamento esperado
848,74283,Vicentinho,PT,SP,Locomoção,Locação Ou Fretamento De Veículos Automotores,1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,1,9,9343.01,147254.510948,139673.23431152088,-0.9874,Fornecedor com CNPJ suspeito
537,220599,Marcelo Crivella,REPUBLICANOS,RJ,Publicidade,Divulgação Da Atividade Parlamentar.,0,Sem indício cadastral crítico,FOUND,ATIVA,14,76,1234300.00,226781.355120,259582.44863584734,3.8813,Anomalia financeira extrema
84,204358,Beto Pereira,REPUBLICANOS,MS,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,1,60,315400.00,208841.042857,176263.8077260953,0.6045,Comportamento esperado
642,160556,Padre João,PT,MG,Outros,Manutenção De Escritório De Apoio À Atividade Parlamentar,1,Erro na consulta pública de CNPJ,ERROR,,1,56,5961.77,123562.947566,162703.54342443834,-0.7228,Fornecedor com CNPJ suspeito
448,204372,Julio Cesar Ribeiro,REPUBLICANOS,DF,Locomoção,Locação Ou Fretamento De Veículos Automotores,0,Sem indício cadastral crítico,FOUND,ATIVA,3,26,175438.00,118149.428125,89877.33858167462,0.6374,Comportamento esperado
549,219585,Marco Brasil,PP,PR,Locomoção,Locação Ou Fretamento De Veículos Automotores,1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,1,11,32190.34,113439.957419,130977.93601797776,-0.6203,Fornecedor com CNPJ suspeito
875,178889,Zé Carlos,PT,MA,Alimentação,Fornecimento De Alimentação Do Parlamentar,1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,3,5,189.40,1328.951538,1567.1502413768233,-0.7271,Fornecedor com CNPJ suspeito
634,73463,Osmar Serraglio,PP,PR,Serviços profissionais,"Consultorias, Pesquisas E Trabalhos Técnicos.",1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,2,11,117556.21,58752.690645,58141.82428785019,1.0114,Fornecedor com CNPJ suspeito
259,204364,Eli Borges,PL,TO,Publicidade,Divulgação Da Atividade Parlamentar.,1,Situação cadastral não ativa: INAPTA,FOUND,INAPTA,1,8,2380.00,260231.601071,329408.0872597135,-0.7828,Fornecedor com CNPJ suspeito
348,178996,Giovani Feltes,MDB,RS,Viagens,Passagem Aérea - Rpa,0,Sem indício cadastral crítico,FOUND,ATIVA,3,21,32221.40,23263.014545,27193.710295909314,0.3294,Comportamento esperado
190,204451,Delegado Antônio Furtado,UNIÃO,RJ,Combustível,Combustíveis E Lubrificantes.,1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,2,2,640.44,44023.319398,62812.667137756165,-0.6907,Fornecedor com CNPJ suspeito
36,74057,Alice Portugal,PCDOB,BA,Publicidade,Divulgação Da Atividade Parlamentar.,1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,1,2,47601.00,317318.910361,328157.1355142384,-0.8219,Fornecedor com CNPJ suspeito
823,204466,Tereza Nelma,PSD,AL,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",1,Situação cadastral não ativa: BAIXADA,FOUND,BAIXADA,1,1,635.00,10355.987000,9952.54062426837,-0.9767,Fornecedor com CNPJ suspeito
152,220590,Coronel Ulysses,UNIÃO,AC,Viagens,Passagem Aérea - Sigepa,,,,,0,224,294792.40,131556.873333,92765.04055863072,1.7597,Comportamento esperado
357,204513,Guiga Peixoto,PSC,SP,Outros,"Serviço De Táxi, Pedágio E Estacionamento",0,Sem indício cadastral crítico,FOUND,ATIVA,15,743,11745.45,11967.060840,16796.655097373645,-0.0132,Comportamento esperado
278,160640,Eros Biondini,PL,MG,Hotéis,"Hospedagem ,exceto Do Parlamentar No Distrito Federal.",0,Sem indício cadastral crítico,FOUND,ATIVA,107,275,126693.88,17018.453084,26330.369533202334,4.1654,Anomalia financeira extrema
863,74043,Wellington Roberto,PSD,PB,Combustível,Combustíveis E Lubrificantes.,0,Sem indício cadastral crítico,FOUND,ATIVA,102,293,85790.89,61582.608974,85760.8839439169,0.2823,Comportamento esperado
