id_deputado,dept_tx_nome_parlamentar,part_sg_partido,uf_sg_uf,qt_documentos,qt_documentos_comprovados,qt_glosas,qt_restituicoes,pc_documentacao
204448,Luiz Antonio Corrêa,PP,RJ,752,648,59,0,86.17
204540,Maria Rosas,REPUBLICANOS,SP,1765,1399,84,0,79.26
141450,Hugo Leal,PSD,RJ,1604,1072,175,0,66.83
74371,Rubens Otoni,PT,GO,983,766,163,2,77.92
229259,Pedro Tourinho,PT,SP,51,41,10,0,80.39
178912,Pedro Cunha Lima,PSDB,PB,71,36,1,0,50.7
205535,Patricia Ferraz,PL,AP,84,57,0,0,67.86
234253,Lucas Abrahao,REDE,AP,7,7,0,0,100.0
221147,Marcia Scherer,MDB,RS,42,37,0,0,88.1
160666,Félix Mendonça Júnior,PDT,BA,1346,850,51,0,63.15
204536,Kim Kataguiri,MISSÃO,SP,737,90,17,0,12.21
72442,Felipe Carreras,PSB,PE,1704,963,21,0,56.51
220650,Paulo Alexandre Barbosa,PSDB,SP,584,315,17,0,53.94
226075,Priscila Costa,PL,CE,37,31,5,0,83.78
225386,Renan Ferreirinha,PSD,RJ,54,41,8,0,75.93
204561,Bira Do Pindaré,PSB,MA,441,356,8,0,80.73
74585,Lincoln Portela,PL,MG,2075,1666,107,0,80.29
204511,David Soares,PODE,SP,1774,1260,206,0,71.03
204366,Rodrigo Coelho,PODE,SC,310,214,2,0,69.03
204440,Christino Aureo,PP,RJ,422,334,14,0,79.15
178948,Beto Rosado,PP,RN,395,300,14,0,75.95
204519,Tiago Mitraud,NOVO,MG,171,127,5,0,74.27
220642,Delegado Bruno Lima,PODE,SP,361,313,28,0,86.7
204560,Adolfo Viana,PSDB,BA,777,441,18,0,56.76
204569,Delegado Pablo,UNIÃO,AM,233,123,8,1,52.79
204435,Jesus Sérgio,PDT,AC,214,150,0,0,70.09
220617,Murillo Gouvea,PSDB,RJ,1136,716,16,0,63.03
220532,Rafael Prudente,MDB,DF,615,605,79,0,98.37
220685,Paulo Litro,UNIÃO,PR,1588,1126,20,1,70.91
74376,Vander Loubet,PT,MS,1720,1408,59,0,81.86
204475,Ottaci Nascimento,SOLIDARIEDADE,RR,213,28,0,0,13.15
92699,Fernando Monteiro,PSD,PE,1475,940,77,0,63.73
220618,Sargento Portugal,PODE,RJ,888,686,27,1,77.25
221339,Dr. Benjamim,UNIÃO,MA,188,82,3,0,43.62
163321,Ronaldo Nogueira,REPUBLICANOS,RS,2325,2132,142,0,91.7
182146,Wolmer Araújo,SOLIDARIEDADE,MA,59,40,1,0,67.8
220677,Keniston Braga,MDB,PA,657,364,7,0,55.4
220538,Albuquerque,REPUBLICANOS,RR,649,572,10,0,88.14
220686,Duarte Jr.,AVANTE,MA,879,590,117,0,67.12
220570,Dr. Ismael Alexandrino,PSD,GO,615,575,32,0,93.5
204483,Vilson Da Fetaemg,PSB,MG,333,196,3,0,58.86
220574,Cabo Gilberto Silva,PL,PB,725,473,5,0,65.24
180214,Pastor Diniz,UNIÃO,RR,538,315,17,0,58.55
217330,Pedro Dalua,PSC,AP,44,21,0,0,47.73
141518,Paulinho Da Força,SOLIDARIEDADE,SP,747,301,12,0,40.29
204538,Paulo Bengtson,PTB,PA,189,83,17,0,43.92
220621,Sargento Gonçalves,PL,RN,744,523,5,0,70.3
220675,Antônio Doido,MDB,PA,685,408,17,0,59.56
220567,Jeferson Rodrigues,PSDB,GO,278,257,76,0,92.45
160632,Zé Silva,UNIÃO,MG,1577,1310,149,0,83.07
204357,Rose Modesto,UNIÃO,MS,236,204,22,0,86.44
204524,Pinheirinho,PP,MG,1995,1729,26,2,86.67
92346,Eduardo Bolsonaro,PL,SP,1072,730,26,0,68.1
220707,Amanda Gentil,PP,MA,299,210,9,0,70.23
228941,Daniel José,PODE,SP,72,27,2,0,37.5
178886,Juscelino Filho,PSDB,MA,308,114,55,0,37.01
137070,Vicentinho Júnior,PSDB,TO,336,175,1,0,52.08
220654,Delegado Paulo Bilynskyj,PL,SP,1646,1330,28,1,80.8
219585,Marco Brasil,PP,PR,1029,888,41,0,86.3
220595,Coronel Fernanda,PL,MT,918,614,48,0,66.88
204504,Cezinha De Madureira,PL,SP,1280,876,69,6,68.44
141391,Arnaldo Jardim,CIDADANIA,SP,2428,2035,121,0,83.81
204434,Dra. Vanda Milani,PROS,AC,169,80,7,0,47.34
178909,Hélio Leite,UNIÃO,PA,480,265,11,0,55.21
178934,Toninho Wandscheer,PP,PR,1292,880,207,0,68.11
